发布时间,正文
2021-08-28 12:42:27,最近看了几篇写st凯乐的文章，感觉这公司差点意思。1.大股东是集体所有制企业，不算国企，地方zf支持的力度存疑。2.主营专网通信暴雷，剩下的业务全是歪瓜烂枣，这股票成壳股了。3.这公司上市以来，讲了十几个故事，再讲一个也不奇怪，但故事再好听，无法落地也是没卵用的。4.大股东在暴雷前精准解除质押，摆脱了强平风险，这意味着废材大股东冤魂不散，企业前景无望，不换大股东，基本面反转毫无希望。所以我觉得这股票开板后，只有反弹，没有反转，没什么参与价值。
2021-09-01 09:40:49,st凯乐想要困境反转，换大股东是前提条件，因为大股东在a股市场搞了十几年，还停留在造假讲故事的水平上，你不能指望他一夜之间就能醒悟过来，他就是个废材，他已经跟不上时代了。不换人，凯乐毫无投机价值。
2021-09-03 11:25:09,我坚持做模拟炒股做了十一年，在15年股灾的时候，我按照自己的经验，不断将暴跌的剁了换成暴涨的，低抛高吸是我的原则，但这种原则在股灾面前被疯狂打脸，暴跌的明天可能会继续暴跌，但暴涨的当天往往会被干成暴跌，股灾面前人人平等，都是跌成狗屎，只不过有些是早上跌成狗屎，有些是下午跌成狗屎。只有空仓才是应对股灾的正确答案，其他都是扯淡。
2021-09-26 21:22:31,东北限电的话题这么火，民怨这么大，侧面反应限产限电的纠偏很可能会很快来临，纠偏一旦开始，一些周期股可能就真正确定顶部，要开始漫长下跌之路了。纯粹限制供给只是短周期的故事，而需求持续爆发才有价格永续增长的梦想，新能源的神话还会继续长盛不衰下去。
2021-09-29 10:28:42,最近很多人在讨论 st中天 ，基本面的故事诱惑力十足，但现在是不是好的时间点呢，我觉得还没到时候。一个好的时间点，比一个好的价格，往往更加重要。让你赚大钱的交易，大概率是一开始就赚钱，而且持续赚钱的那个。要让市场告诉你底部在哪里，而不是试图自己给市场进行估值定价，你自己什么水平，几斤几两，有资格给市场定价吗，清醒一点！st股波动巨大，底部的确认，很大概率是以涨停为起点，不涨停，不买入。当然这是我的习惯，不一定准确。
2021-10-15 10:28:27,st红太阳在发布了“令人失望”的三季度报告后，居然也没有跌停，这可能预示着短期底部确定了。当然我的看法并不重要，也不一定准确，一切以市场为准。
2021-10-20 11:29:42,看来我的短线盘感还可以，基本功还在，希望能继续保持下去。
2021-10-22 10:37:59,st板块的涨停数越来越少，可能无脑赚钱的好时光过去了。还是要小心一点，做好仓位管理，活得久才能赚的久，炒股也是一门越老越有优势的职业，老玩家也更容易赚大钱。
2021-10-24 17:05:23,做st重整股，一定要留意上市公司对问询函的回复速度，能够及时回复的都是优等生，不停推迟回复的百分百是差等生，所以最好是做能够及时回复的那些，不能回复的千万要小心。绝大部分上市公司都能在规定时间前回复问询函的，但交易所不认可，就会打回去让修改并推迟回复，一直不认可就会一直推迟。我们是来赚钱的，又不是扯皮的，不要把时间浪费在差生身上。
2021-10-25 10:16:58,自从合肥捡尸蔚来大获成功之后，企图捡尸新能车企复制合肥模式的地方zf到处都是，无论什么垃圾车，ppt车，只要是躺倒新能车就有一大堆的接盘侠企图接盘。新能车已经是一个神奇的行业，这赛道出了世界首富，一级市场二级市场的造富神话随处可见，这是无法用一般眼光去看待的，至少在神话破灭之前是这样的。
2021-10-25 10:28:25,暴雷前的恒大汽车，只靠ppt造车就搞了几千亿市值，虽然说港股很不靠谱，但这侧面说明了新能车初创企业有多抢手，简直是抢的头破血流。这赛道就没有低估值，没有合理估值，全tm用梦想在估值。亏越多估值越高，最可怕的是连躺下的尸体都贵的要死，比如保时泰。不过我是不看好保时泰了，因为他再翻一倍的可能性很小，我只买入短期内有机会翻倍的股票，他不是我的菜。
2021-10-27 11:15:03,st腾邦 能够回复问询函，我是高看他一眼的，如果他在不发达地区搞重整，绝对会顺利很多。因为不发达地区每个上市公司都是宝贝中的宝贝，为了不退市，一堆的zf大佬们都使尽一切办法保驾护航。但处在发达地区深圳就难了，深圳这地方到处都是上市公司，几千亿几万亿的上市公司也多的是，zf和法院搞起重整是严格按照程序一点一点的走，速度就像乌龟一样一点一点的爬。搞习惯了不发达地区大干快上的重整股，再来搞发达地区的，自然就像吃屎一样难受。。
2021-10-29 18:06:11,这也太坑了，怪不得股价一副半死不活的样子。。
2021-11-01 23:15:13,"最近焦炭现货市场看起来什么都没有变，但问一下每一个参与焦炭现货期货市场的人，感觉好像什么都变了。其实这种行情，在焦炭历史上经常出现，就是讲故事行情, 这种行情的特征是：当你讲基本面，市场给你讲宏观，当你看宏观了，市场再讲基本面。当你讲现实，市场给你讲预期。你认同预期了，市场让你回归现实。当你看政策利好，市场讲经济很差。你认同经济很差了，市场说政策利多..	参与这种行情要把基本面放在次要地位，市场预期才是主要方向，市场预期这个东西很奇怪，以前陪人家看月亮的时候，叫人家小甜甜，现在新人换旧人，就叫人家牛夫人。短短半个月，发哥连发20余文过问煤价，就是要把煤炭小甜甜的预期往牛夫人引导。	预期一旦改变，你会发现满屏的利空，原来YYDS的焦煤利空也来了：【汾渭信息】进口焦煤讯，目前鲅鱼圈放行的部分澳洲焦煤已逐步投放市场，部分准一线焦煤（S0.3 A8.5 G75）平仓含税报3600元/吨左右，而其中山西地区类似低硫低灰骨架焦煤品种出厂含税在3950-4000元/吨左右，澳洲焦煤价格优势明显，预计会对坑口煤价形成明显冲击，另外，近期政策风险较大，市场观望情绪较大，拥有澳洲焦煤资源的贸易商多表示海关放行后以积极出货为主。	焦煤目前交易三点预期，1、冬梅保供政策波及焦煤，未来焦煤类似冬梅一样直接限价；2、冬梅供需缓解后带动配焦煤走弱，从而带动主焦煤走弱；3、澳煤通关500-600万缓解供需缺口。	经济学里有一条著名的“墨菲定律”，它一种心理学效应， 主要内容：一、任何事都没有表面看起来那么简单；二、所有的事都会比你预计的时间长；三、会出错的事总会出错；四、如果你担心某种情况发生，那么它就更有可能发生。墨菲定律主要内容是：如果事情有变坏的可能，不管这种可能性有多小，它总会发生。换种说法：凡事可能出岔子，就一定会出岔子。	焦煤的“墨菲定律”马上就要应验了，一旦焦煤走弱，那么建立在焦煤成本推动上涨和支撑的焦炭强势逻辑将坍塌，焦炭现货的利空也会接踵而至。"
2021-11-02 10:29:12,浪奇怎么看都不像是会注入虎头电池的样子，更像是会注入百花香料，鹰金钱罐头这类有点关联属性的资产吧？！
