发布时间,正文
2012-05-08 16:35:38,对@Firstrade第一理财 说：你好，请问有没有使用兴业银行转账过去的成功案例？
2012-05-31 13:55:28,etao现在根本没做起来，几乎没流量，还要靠淘宝给它导流量，只是因为是淘宝的关系，所以大家才会把它当回事，换成另外一个第三方的商品搜索，基本可以把这东西忽略了。
2012-07-10 22:05:21,淘宝的商品搜索和传统搜索有一点完全不同：淘宝的搜索不仅仅是只考虑搜索准确度，还要考虑买卖家之间以及淘宝平台本身的利益。每次搜索规则的变化，也是淘宝自己的战略转变。
2012-07-19 13:16:59,非常赞同“场面上的话的特点一般是出一看很漂亮，仔细一看却觉得没东西” 这句话。 马云很多的演讲就是这个样子的 哈哈
2012-08-20 21:36:07,挖到了凤巢首席架构师，百度科学家
2012-08-20 21:55:24,$奇虎360(QIHU)$  现在看来当时14.90卖入是个绝好的机会啊。可惜后来没继续加码
2012-08-20 22:35:51,我打算长期持有吧。。 奇虎现在估值才22亿。 至少百亿级别吧
2012-08-30 23:14:51,每次要在Windows下上中行，招行的网银时，我都深深地感觉自己以前B4网址导航的想法真是愚蠢地可笑。
2012-08-31 13:22:38,$奇虎360(QIHU)$   360终于推出独立的搜索引擎品牌了。目前360存在两个搜索引擎，现在线上运行的并不是最好的，昨晚试了 张栋_机器学习 开发的那个引擎，搜索质量已经超过百度了，不知道他们什么时候切换到新引擎。这个新引擎或许才是百度最担心的东西，他们知道张栋的能力。
2012-11-06 22:16:22,这个1万亿是谁给你的数据？ 你觉得这数据靠谱吗？ 通篇文章建立在一个错误的数据上，这不是扯淡嘛。。 独立电商分析师。。。。 真是个好职业啊。
2012-11-06 22:47:49,淘宝对外公布的都是GMV，不是交易额，这是电商行业的共识了。GMV到真实交易的转化率有多少不知道你清不清楚？ 这些成交中，虚假交易又占了多少呢？ 1W亿只是一个公关的数字。
2012-11-07 21:47:41,也不算内幕了，做淘宝的应该都知道的。淘宝对外公布的数字是创建订单金额，创建的订单到支付订单的转化率大约是60%，再减去刷信誉的成交，真实成交额应该在50%以上。这是非常牛X。
2012-11-25 10:58:48,奇虎推出搜索时就想到奇虎的购物搜索和一淘会存在竞争，当时我的结论是一淘要完蛋了，因此它们无法获取流量，但是他们本质上却是互补的。奇虎的购物搜索有流量，但是无法索引淘宝体系的商品是个硬伤，而一淘商品数据全网最全，但是却没有办法获取到足够流量。马云为了做成一淘会下血本，现在估计两家会达成战略级合作了，商品搜索这块直接使用的etao的数据。这会是一个双赢的结局，为对抗双方共同的敌人，他们走到了一起。
2012-12-03 23:31:19,$奇虎360(QIHU)$14.90进场一直到现在。这是我入市半年多以来收益最好的一支股票。几乎等于目前的总收益，感谢雪球，让我少交学费。
2012-12-13 13:21:25,在11年之前校园招聘中，阿里的应届生招聘一直只能招些百度，腾讯等企业挑剩的人材，但是并不妨碍阿里的整个技术团队做大做强。其实应届生之间的差距真的没那么大，公司的气氛才是影响员工最大的因素。
2012-12-23 23:24:48,X86的功耗和RISC比起来天然就处于劣势，Intel这些年都是凭一已之力对抗整个科技趋势。在PC市场，依靠Windows的垄断地位（Windows只支持X86指令集）和巨大的出货量得于一直支撑到现在，到了移动市场操作系统已经是Linux（android），类Unix（iOS）的天下，这些系统天生就支持RISC指令集，而且功耗又低，在移动市场上Intel没有半点优势。
2013-01-03 09:03:41,我观察的结果是安卓用户只使用极少的APP（一般只是微博，QQ，网易新闻，地图）。大部分人用的是移动的网络，每个月使用的流量都很少，其它和以前用Nokia的智能机的行为没什么不同，除了屏幕大些，还是停留在以前的时代。
2013-01-17 23:30:19,我当年也折腾Ubuntu啊，觉得Linux开放，啥都可以玩，后来也入了MacBook Pro。当年和一个折腾Linux的同学聊Mac的封闭，结果1年后，他也入了Apple三件套，再想起最近上海Linux用户组聚会，14，5个人，7，8台Mac，那些说自由，开放，好折腾的只是极少数人顽固份子。人生苦短，何必花那么多时间折腾呢？
2013-03-05 19:48:48,苹果的软件不差，从纯软件讲比Google还强，在互联网这块稍差。Apple有自己的语言，运行时，桌面操作系统，移动操作系统，浏览器，而且这些东西都很优秀，chrome采用的Webkit引擎是Apple开源出来的，只是不像Google那样宣传而已。在云计算方面amazon不比Google差，但是人家就是不喜欢像Google那样宣传。技术人员很容易对一些公司形成一直奇怪的技术崇拜，别人说一下什么，就觉得很牛啊。
2013-03-05 22:17:20,再说一下，以iOS现在发送iMessage的量来看，苹果在互联网公司引以为豪的高并发方面也很厉害。iMessage每秒发送的消息量现在应该比Twitter都多。苹果公司的理念决定了把高深的技术隐藏在出色的产品后面。用户不需要了解这些技术，用户只要优秀的产品体验。
2013-03-21 21:46:31,苹果的Passbook在美国的支持的的地方比NFC多得多。就像各大汽车厂商，音箱等上下流厂商都会专门支持苹果的设备一样。这种东西必须有一个强大的厂商来推动，在Android阵营还没有一家公司有这样的号召力。
2013-04-24 21:50:18,只要是卖电子产品，Apple永远可以获得很高的利润。在PC领域，Mac的销量占整个行业的销量15%不到，依然拿到了整个PC行业45%的利润。对于卖手机和平板这两件事，我依然看好苹果。
2013-05-01 23:09:21,iPad mini是战略级产品，profit margin不是这款产品的重点。首先用来扩大苹果产品的用户数，提升用户对于平板的要求，利用极好的用户体验吸引用户购买其它产品。第二、这个价格直接将三星这类的Android的平板厂商压制到只能和国产山寨平板去竞争。
2013-05-02 11:28:11,&#34;我都幾後悔曾經在網上推薦人用 Samsung...... 最近試過無咗一個file幾百張相，張SD card又成日壞！仲有，copy and paste 又成日copy 唔倒，打字認字能力又低又蠢！唉！仲有......下删三千字，共勉之！&#34;  杜汶泽在Facebook上的吐槽。  电子产品必须经过1年以上才能看出真的好，在产品方面三星比Apple还是差得远。
