ID,发布时间,点赞数,评论数,转发数,链接,摘要,正文
379123414,2026-03-12 13:25:57,0,0,0,https://xueqiu.com/3629171097/379123414,$天齐锂业(09696)$ 一买就跌,$天齐锂业(09696)$ 一买就跌
379077995,2026-03-12 10:07:21,0,0,0,https://xueqiu.com/3629171097/379077995,为什么做空要空业绩下滑的优质股，而不是空垃圾股；主要是因为持有人结构不一样。优质股的投资人往往是因为它业绩好才买它，当业绩变差时，自然也卖出，这时候你做空它业绩变差，自然会下跌；垃圾股的投资人往往不是因为业绩买这只标的的，可能是因为某些概念或者是创始人的狂热粉...,"来源
：雪球App
，作者
： 情商堪忧的舔狗
，
（https://xueqiu.com/3629171097/379077995
）
为什么做空要空业绩下滑的优质股
，而不是空垃圾股
；
主要是因为持有人结构不一样
。
优质股的投资人往往是因为它业绩好才买它
，当业绩变差时
，自然也卖出
，这时候你做空它业绩变差
，自然会下跌
；
垃圾股的投资人往往不是因为业绩买这只标的的
，可能是因为某些概念或者是创始人的狂热粉丝
，这时候你做空它
，即使业绩下降
，对于原本的持有人而言
，可能他们并不care
，也不会卖出
，股价自然未必下跌
当然
，市值最后还是会回归均值
，但可能是1年
，也可能是10年
，也可能是$特斯拉(TSLA)$"
379031233,2026-03-11 22:44:13,1,1,0,https://xueqiu.com/3629171097/379031233,市场认为川普认怂一切就会重归平静目前看伊朗不这么认为，依旧想打买入 vix 近月看涨期权做保险仓位,市场认为川普认怂一切就会重归平静目前看伊朗不这么认为，依旧想打买入 vix 近月看涨期权做保险仓位
378977814,2026-03-11 15:41:31,6,3,0,https://xueqiu.com/3629171097/378977814,,"传奇生物管理层指引达成情况分析
来源
：雪球App
，作者
： 情商堪忧的舔狗
，
（https://xueqiu.com/3629171097/378977814
）"
378912539,2026-03-11 10:36:17,2,0,0,https://xueqiu.com/3629171097/378912539,从纸张的价格下降带来的知识的流通，让寒门上升通道成为可能，也让欧洲宗教改革成为可能到互联网带来的信息的极低传播成本，让信息平权成为可能；再到AI带来的弱认知的极低传播成本，让弱认知平权成为可能；现在是skills的发明，让技能平权成为可能；安装了个分析股票的skills...,"来源
：雪球App
，作者
： 情商堪忧的舔狗
，
（https://xueqiu.com/3629171097/378912539
）



从纸张的价格下降带来的知识的流通
，让寒门上升通道成为可能
，也让欧洲宗教改革成为可能
到互联网带来的信息的极低传播成本
，让信息平权成为可能
；
再到AI带来的弱认知的极低传播成本
，让弱认知平权成为可能
；
现在是skills的发明
，让技能平权成为可能
；
安装了个分析股票的skills
，跟没装真是两种AI
，这个还是基本面分析的
，skills的hub还有技术面
、情绪面
、量化等其他类型的
，不得不说
，真的太牛了"
378806472,2026-03-10 15:55:14,1,0,0,https://xueqiu.com/3629171097/378806472,ai助手确实像下一代操作系统，迁移成本太大了，甚至比从mac迁移到win还大,ai助手确实像下一代操作系统，迁移成本太大了，甚至比从mac迁移到win还大
378685989,2026-03-09 22:01:50,1,0,0,https://xueqiu.com/3629171097/378685989,$霸王茶姬(CHA)$ 最近出的新品有点难喝,$霸王茶姬(CHA)$ 最近出的新品有点难喝
378553179,2026-03-09 09:47:34,1,1,0,https://xueqiu.com/3629171097/378553179,$赣锋锂业(01772)$ 你是真的惨,$赣锋锂业(01772)$ 你是真的惨
378288409,2026-03-06 10:54:25,1,1,0,https://xueqiu.com/3629171097/378288409,这是商量好了一起压60天均线吗$天齐锂业(SZ002466)$ $中矿资源(SZ002738)$ $赣锋锂业(SZ002460)$,"来源
：雪球App
，作者
： 情商堪忧的舔狗
，
（https://xueqiu.com/3629171097/378288409
）



这是商量好了一起压60天均线吗$天齐锂业(SZ002466)$$中矿资源(SZ002738)$$赣锋锂业(SZ002460)$"
378183095,2026-03-05 17:22:13,6,2,0,https://xueqiu.com/3629171097/378183095,$中矿资源(SZ002738)$ 今天跑的人真多,$中矿资源(SZ002738)$ 今天跑的人真多
378134910,2026-03-05 13:29:51,1,0,0,https://xueqiu.com/3629171097/378134910,如果津巴布韦真是利空，你不应该只跌这么点$中矿资源(SZ002738)$ ，天齐和赣锋也不应该只涨这么点,如果津巴布韦真是利空，你不应该只跌这么点$中矿资源(SZ002738)$ ，天齐和赣锋也不应该只涨这么点
377894838,2026-03-04 09:25:05,1,1,0,https://xueqiu.com/3629171097/377894838,今年就两件事，6月份之前锂矿一波主升浪；12月份之前传奇生物一波主升浪；期间观测都是无效，看命的时候到了,今年就两件事，6月份之前锂矿一波主升浪；12月份之前传奇生物一波主升浪；期间观测都是无效，看命的时候到了
377861904,2026-03-04 00:12:20,3,2,0,https://xueqiu.com/3629171097/377861904,$传奇生物(LEGN)$ 今年再不涨就多少有点问题了，毕竟要盈亏平衡，c5数据也要出来，看如果年底还这样，就考虑止损部分仓位,$传奇生物(LEGN)$ 今年再不涨就多少有点问题了，毕竟要盈亏平衡，c5数据也要出来，看如果年底还这样，就考虑止损部分仓位
377709714,2026-03-03 10:15:58,1,0,0,https://xueqiu.com/3629171097/377709714,很少有比锂矿还脏的资金了,很少有比锂矿还脏的资金了
377076717,2026-02-26 15:53:11,2,0,0,https://xueqiu.com/3629171097/377076717,$恒生科技指数(HKHSTECH)$ 这已经走熊了吧,$恒生科技指数(HKHSTECH)$ 这已经走熊了吧
