ID,发布时间,点赞数,评论数,转发数,链接,摘要,正文
377941825,2026-03-04 11:37:28,146,17,6,https://xueqiu.com/9507152383/377941825,"今天和一位在领英上屡次被Mike Lyons亲自点赞的销冠（后续称AG）深入交流了一下，纯粹是出于好奇，为什么那么多店家愿意公开表扬他，为什么他能把客户服务得这么好？AG说，首先，他从来不和客户谈“价格/rates&#34;，而这恰是很多销售喜欢上来就说的，&#34;show me your statement&#34;, &#34...","来源
：雪球App
，作者
： 黑色面包
，
（https://xueqiu.com/9507152383/377941825
）
今天和一位在领英上屡次被Mike Lyons亲自点赞的销冠
（后续称AG
）深入交流了一下
，纯粹是出于好奇
，为什么那么多店家愿意公开表扬他
，为什么他能把客户服务得这么好
？
AG说
，首先
，他从来不和客户谈
“价格/rates""
，而这恰是很多销售喜欢上来就说的
，""show me your statement"", ""I can offer your a competitive rate"", etc
。销售想要赚快钱
，这是最直觉不过的事情
。
AG总是上来先说
，
”可以给我说说你的生意吗
？我对它非常感兴趣
！
“
，然后
，麻烦告诉我一下你的存货是怎么管理的
，你的payroll是如何完成的
，一个好的reward program能增加8%的销量
，你有给客户提供reward program吗
？拉近了感情之后
，AG会说
，我可以帮你解决这些生意运营上的问题
，我们有ADP软件
，坦白说我认为这是HR领域最好的软件了
，可以帮你完成员工薪资的发放, etc
。AG强调的永远是
，
”我可以怎么帮助到你
“
，他喜欢亲自到店里
，帮老板把POS设置好
；他会把自己的手机号码给老板
，
”有任何问题
，你随时可以给我打电话
“
，AG日以继夜地工作
，
”我太喜欢这份工作了
，我喜欢帮他们解决问题
”
。
从FB时代到ML时代
，一个重大的区别
，是FB时代
，Clover只是一个简单的payment processor
；而ML却屡次三番和所有销售人员强调
，卖的是软件解决方案
，而不是一个简单的支付处理
。如果只是简单的支付处理
，那么就会陷入同质化的陷阱
，对方打败你的办法就是在价格这个单变量上做文章
；但是如果上升到商业整体解决方案
，这种差异化的服务
，就让客户变得更有黏性
，因为价格这个单一变量不再具有决定性的作用
。
”我们试图提供一整套解决方案
，不是给你提供最低的支付成本
，而是给你提供便捷的运营上的各种解决方式
，让你的整体运营成本大幅下降
“
。
”我觉得这种提供整体解决方案的思路
，把我们看成是软件服务供应方
，而不简单是支付处理方
，这种思路是对的
。ML不会天天和我们在一起
，但这种思路从上到下的贯彻非常明显
，而还有不少销售人员在适应的过程中
。
”
AG进入这个行业很偶然
，只是和现任妻子共进晚餐时
，她的朋友正好在$费哲金融服务(FISV)$ 工作
，他又在找工作
，顺理成章进入了这个行业
。AG经常被其他竞争对手挖墙脚
，$Block(XYZ)$ 和$Toast(TOST)$ 都有试图挖他
，
”但他们不够 hands-on
。比如他们的很多服务都是远程的
（remote
）
，不会让人去店里帮老板一起set up
；我喜欢到处跑
，我很少去Berkeley Heights的办公室
，我总是在路上
。
”
反观从前给我工作过的销售
，最优秀的
，也往往是从客户的角度出发
，不是强调最低的价格
，而是强调能够提供的差异化的价格主张
，以及客户能从中如何获益
。不同行业的销售是相通的
，因为人性是相通的
。"
377447179,2026-03-01 15:04:42,151,75,2,https://xueqiu.com/9507152383/377447179,$洛克希德-马丁(LMT)$ $通用动力(GD)$ $诺斯洛普-格鲁门(NOC)$从委内瑞拉到伊朗，我觉得这一系列的发展，对于军工而言可能整体是偏空的，因为未来这块的资本开支，可以更加精简地用在刀刃上。这两次作战，真正实现了“射人先射马，擒贼先擒王”，直接把大脑打掉，军队直接瘫痪。以后不再需要...,"来源
：雪球App
，作者
： 黑色面包
，
（https://xueqiu.com/9507152383/377447179
）
$洛克希德-马丁(LMT)$$通用动力(GD)$$诺斯洛普-格鲁门(NOC)$
从委内瑞拉到伊朗
，我觉得这一系列的发展
，对于军工而言可能整体是偏空的
，因为未来这块的资本开支
，可以更加精简地用在刀刃上
。这两次作战
，真正实现了
“射人先射马
，擒贼先擒王
”
，直接把大脑打掉
，军队直接瘫痪
。以后不再需要大规模的海陆空三军的共同推进
，和耗时良久的大兵团对峙作战
。这到底是因为技术变得更加先进
（比如现在有星链和无人驾驶机以及更先进的情报搜集手段
）
，还是之前的总统确实陷在艾森豪威尔所谓的军事工业混合体
（industrial military complex)的利益链条的捆绑当中
，或者两者兼有
？"
376799684,2026-02-25 01:51:23,83,11,1,https://xueqiu.com/9507152383/376799684,Stripe最近一轮funding 1590亿，今年Stripe Suite的run-rate revenue 10亿美金(total revenue 6.8 bil)... 如果它是个上市公司，估计会把翔都跌出来... 挺好的，如果我有一家企业，估计不会选择上市，上市了也不开电话会，不给指引，爱买不买，拒绝把时间花在短视的智障身上。年报写得非常好...,"来源
：雪球App
，作者
： 黑色面包
，
（https://xueqiu.com/9507152383/376799684
）
Stripe最近一轮funding 1590亿
，今年Stripe Suite的run-rate revenue 10亿美金(total revenue 6.8 bil)... 如果它是个上市公司
，估计会把翔都跌出来... 挺好的
，如果我有一家企业
，估计不会选择上市
，上市了也不开电话会
，不给指引
，爱买不买
，拒绝把时间花在短视的智障身上
。
年报写得非常好
，有洞见有智性
，摘录几段
，推荐对支付感兴趣的仔细读全篇
：网页链接
1. 全球化的新一代Fintech玩家
：具有讽刺意味的是
，受金融地理壁垒限制最大的科技公司往往是金融科技公司本身
。在 Chime 推出 12 年后
，你仍然只能在美国境内开设新的 Chime 账户
。成立于 2013 年的 Nubank
，在最初的 6 年里仅服务于巴西市场
，而在过去的 6 年中也仅增加了两个国家
。即使在 Stripe
，我们的发卡
（Issuing
）产品在发布约 7 年后也仅在 22 个国家/地区提供
——这已经比大多数公司快了
，但依然没有达到我们期望的速度
。
这种情况也正在发生改变
。最新一批金融科技公司
——仅举几例
，如 Sling Money
、DolarApp
、Félix 和 KAST
——从一开始就在构建全球性的金融应用
。同样
，去年我们推出了我们的首款原生全球化产品
——金融账户
（Financial Accounts
）
，企业可以使用它来持有
、发送和接收资金
。我们在发布首日就将其提供给了 100 多个国家/地区的企业
。这种进步在很大程度上要归功于稳定币
，其无国界的特性使得金融科技公司能够建立起随处可用的基础设施
。默认全球化的金融服务
，有史以来第一次成为真正的可能
。
2. 稳定币和Tempo
：加密货币与法定货币之间的互操作性也在迅速提升
。4 月
，Bridge 与 Visa 合作推出了允许企业和消费者像使用其他任何信用卡一样消费其稳定币的卡片
。付款从稳定币余额中扣除
，并自动转换为当地货币
；商家就像接收任何其他付款一样收到资金
，完全不受底层稳定币机制的干扰
。拥有 2000 万月活跃用户的最受欢迎的加密钱包之一 Phantom
，正在使用 Bridge 向其客户推出由稳定币支持的卡片
。
在我们为稳定币被大规模采用的世界做准备时
，去年我们花了一些时间思考区块链
。如今的区块链是为交易和去中心化金融
（DeFi
）设计的
，而对支付至关重要的属性
（包括吞吐量
、可靠性
、成本可预测性和隐私性
）并没有成为重点关注的方向
。比特币每秒处理的交易不到 10 笔
。去年
，某主流区块链上的一场迷因币
（memecoin
）交易狂热导致一位 Bridge 用户的付款延迟了超过 12 小时
，并将每笔交易的费用推高了 35 倍
。虽然此类运营问题已经很严重了
，但由于我们预计交易需求将大幅增长
，这些问题只会进一步加剧
。在我们看来
，智能代理
（agents
）很可能很快就会负责大部分的互联网交易
，我们可能需要支持每秒超过一百万
——甚至十亿
——笔交易的区块链
。
9 月
，我们发布了 Tempo
，这是一款专为支付打造的区块链
，由我们与 Paradigm 共同孵化
。借助 Tempo
，企业可以获得专用的支付通道
、亚秒级的最终确定性
、选择性加入的隐私选项
，以及与合规和会计系统的互操作性
。这些功能听起来可能平淡无奇
，但对于支持现实世界经济活动的基础设施来说却至关重要
。Visa
、Nubank 和 Shopify 等公司已经在针对多个用例测试 Tempo
，包括全球付款
、嵌入式金融和汇款
。Klarna 的首席执行官曾自称对加密货币持怀疑态度
，但该机构成为了第一家在 Tempo 测试网上发行稳定币
（KlarnaUSD
）的银行
，他们利用 Bridge 的开放发行
（Open Issuance
）功能来促进更快
、更便宜的跨境结算
。Tempo 的架构也特别适合代理支付
（agentic payments
）和微交易
。Tempo 的主网很快就会上线
，我们期待看到那些雄心勃勃的企业决定用它来构建什么
。
3. 代理式人工智能
：就像 AI 领域的许多事物一样
，代理式商业在某些方面也遭受了过早炒作的困扰
。人们描绘了一幅乌托邦式的画面
：自主代理通过了解你的每一个突发奇想来规划和执行你所有的商业活动
。我们发现
，将代理式商业的更宏大愿景拆解成小块来逐步构建会很有帮助
：
第 1 阶段
：消灭网络表单 (Level 1: Eliminating web forms) 你进行研究并决定买什么
。但填写网络表单并不是任何人喜欢的消磨时间的方式
。如果你能简单地将 URL 发送给你的代理
，让它填写你的付款和送货详情
，然后带着确认信息回复你
，那将会非常方便
。系统并没有做任何决定
；它只是代你输入并点击
“购买
”
。
第 2 阶段
：描述性搜索 (Level 2: Descriptive search) 你不再搜索产品或具体属性
，而是开始描述情境
。

“我需要为芝加哥的一名三年级学生准备返校用品
，包括衣服
（不要太扎人或太紧
！
）
、铅笔
、笔记本和午餐盒
。我儿子喜欢
《KPop Demon Hunters
》和网球
。八月下旬开学
。
”
系统会综合天气
、材料
、尺寸
、耐用性
、品味
、评论和交货时间进行推理
。专业化和长尾产品变得更容易找到
。令人烦恼的生硬关键词搜索将不复存在
。
第 3 阶段
：持久记忆 (Level 3: Persistence) 你不再需要重新介绍自己
。

“帮我找找给 Bobby 的返校服装选项
。
”
系统已经了解你的偏好
，并记住了任何要求
，这些是从你之前的对话和购买记录中推断出来的
。你仍然在决定买什么
，但你是在一组已经反映了你的品味和预算的选项中进行选择
。
第 4 阶段
：委托 (Level 4: Delegation) 你完全不再进行选择
。

“把返校购物办好
。预算控制在 400 美元以内
。
”
系统代你处理搜索
、评估过程和购买
。你相信它会像你一样权衡利弊
，并选择你儿子会喜欢的东西
。你要做的仅仅是确定预算
。
（这也是如今大多数人谈论代理式商业时所指的意思
。
）
第 5 阶段
：预判 (Level 5: Anticipation) 没有提示词
（prompt
）
。 系统已经知道学校的校历
、你儿子的偏好以及你的通常预算
。你要做的只是接收一条通知
：这是已经购买的所有返校物品清单
。这是最具未来感的愿景
，你所需要的东西会在你正好需要之前出现
，甚至无需你开口要求
。
4. AI和监管的互动
：随着人工智能和互联网扩大了可能性的范围
，对采用和适应的人为阻碍
（synthetic impediments
）所带来的代价将变得越来越高昂
。我们分化的经济表明
，增长取决于有用知识的应用
，而不是其抽象存在所带来的某种命中注定的结果
。
人工智能蕴含着极大地改善药物研发的希望
……但只有当我们使包括临床试验在内的监管过程变得更快
、更便宜时
，这种潜力才能得以实现
。欧洲的企业家可以利用新工具提振不温不火的经济
……但这只有在削减
《欧盟人工智能法案
》
（EU AI Act
）等初衷虽好却适得其反的负担的前提下才有可能
。新一代的核能方法有望迎来能源充裕的时代
……但前提是我们必须彻底改革那种充满否决权
（vetocratic
）的监管制度
。自动驾驶运输和物流
——从长途卡车到无人机
——可以大幅降低实体商品的成本
……前提是我们不能让一堆地方法规演变成固化的封锁线
。
莫基尔
（Mokyr
）曾撰文论述过
“文人共和国
”
（Republic of Letters
）在催化工业革命方面的重要性
。而在今天
，我们却生活在一个
“许可共和国
”
（Republic of Permissions
）中
：一个由非市场机制的聚合者组成的过滤筛
。虽然我们的许多限制措施都有着合理的动机
，但现在比以往任何时候都更重要的是
，确保这些措施在所获得的收益与被扼杀的可能性之间取得谨慎的平衡
。"
376482906,2026-02-20 05:34:40,139,32,8,https://xueqiu.com/9507152383/376482906,网页链接 好几位朋友今天跟我分享了这篇文章：万字长文：作为十年垂直软件创业者，我怎么看这场软件股大抛售因为是从业人员写的，很有洞见。摘录两段可能和我们有关的文字：1. 嵌入交易环节（Transaction Embedding） → 持久某些垂...,"来源
：雪球App
，作者
： 黑色面包
，
（https://xueqiu.com/9507152383/376482906
）
网页链接 好几位朋友今天跟我分享了这篇文章
：万字长文
：作为十年垂直软件创业者
，我怎么看这场软件股大抛售
因为是从业人员写的
，很有洞见
。
摘录两段可能和我们有关的文字
：
1. 嵌入交易环节
（Transaction Embedding
） → 持久
某些垂直软件直接嵌在资金流中
。餐饮支付处理
，银行贷款发放
，保险理赔处理
。当你嵌入了交易环节
，切换意味着中断收入
。没有人会主动这么做
。
如果你的软件处理支付
、发放贷款或结算交易
，LLM不会取代你
。它可能叠加在你之上充当更好的前端界面
（sits on top of you
）
，但底层交易轨道本身仍然是必需的
。
Stripe不受LLM威胁
。FIS和Fiserv
（两家美国最大的金融科技基础设施公司
，为银行和金融机构提供支付处理
、核心银行系统等服务
）也不受威胁
。交易处理层是基础设施
，不是界面
。
【我的评价
：如果一定要挑一点瑕疵 这里对FIS的认知可能颗粒度不够完美
，FIS的Capital Markets有一部分是按座收费的SaaS服务
，这部分是可能有风险的
，这也是为什么今年他跌得更厉害的一个核心原因
。
】
2. 第一点
，数据是否独占
？
如果是
——护城河成立
。如果不是
——
「让数据可访问
」这层价值正在崩塌
。
第二点
，是否存在监管锁定
？
如果是
——LLM不改变切换成本的计算
。如果不是
——切换成本主要靠界面复杂性维持
，正在瓦解
。
第三点
，软件是否嵌入交易
？
如果是
——LLM会叠加在你之上做更好的界面
，但不会取代你
（sits on top, not instead
）
。如果不是
——你是可替换的
。
零个""是""
：高风险
。一个
：中等风险
。两到三个
：你大概没事
。
【我的评价
：对于核心处理系统和支付来说
，数据是独占的
，监管是严格的(AML/KYC)
，软件是嵌入交易系统的
。所以我们重仓拿支付
，AI Fear越杀
，其实我们的机会也会变得更好
，只不过这些今年其实跌幅和其他软件类公司相比
，还是比较小的
。
】"
376112362,2026-02-13 10:28:23,43,7,0,https://xueqiu.com/9507152383/376112362,$Toast(TOST)$ 是的，没错，Will。我觉得如果你去思考 Toast 到底是什么，你会发现我们是餐饮业者经营生意时所使用的最核心的技术基石。就像是所有工作的“发动机房”一样。你想想看，从经营管理、前厅、后厅、厨房，到所有的报告、分析和数据，再到顾客体验（比如餐厅网站、线上点单、礼品卡...,"来源
：雪球App
，作者
： 黑色面包
，
（https://xueqiu.com/9507152383/376112362
）
$Toast(TOST)$
是的
，没错
，Will
。我觉得如果你去思考 Toast 到底是什么
，你会发现我们是餐饮业者经营生意时所使用的最核心的技术基石
。就像是所有工作的
“发动机房
”一样
。你想想看
，从经营管理
、前厅
、后厅
、厨房
，到所有的报告
、分析和数据
，再到顾客体验
（比如餐厅网站
、线上点单
、礼品卡
、忠诚度计划
）
、员工管理
、财务等等
——它的覆盖面极其广泛
。
我觉得我们还没充分强调过这一点
：如果你看 Toast 提供的所有服务
，它既是软件
（Software
）
，也是硬件
（Hardware
）
，还是金融科技
（Fintech
）
——比如贷款
、支付和工资发放
，这些都伴随着极高的监管和合规需求
。我们不仅为这些餐厅提供网络动力
，还有数百个合作伙伴运行在 Toast 之上
，不断扩展我们平台的能力
。
如果你去和我们的客户聊聊
，除了我们提供的技术外
，你还会听到另一种声音
：他们希望通过我们来整合这些技术
，我们就像是他们外包的 CIO
（首席信息官
）
。我们的销售和服务团队在协助客户
，让他们能真正发挥出这些技术的所有潜力
。所以
，我认为 Toast 平台蕴含着巨大的价值
。
 实际上
，我认为 AI 是一个让我们能更进一步切入市场的机会
。在客户侧
，我刚才在准备好的发言稿里也提到了
，我们早期是从自动化某些关键工作流开始的
，比如自动生成邮件营销活动
，或者是加快库存上架的速度
。
而现在有了 Toast IQ
，它就像是一个副驾驶
（Copilot
）
，能真正帮助餐饮业者更深度地使用我们的平台
。无论是进行数据分析
，还是自动化特定的工作流
，亦或是修改 Toast 的后台设置
。
**语音
（Voice
）**我认为是另一个机遇
。想象一下
，当你走进一个自助点餐机
、或是进入得来速
（Drive-thru
）车道
，又或者是走到收银终端前
，利用语音识别来自动完成下单
。
从长期来看
，我们正对 Toast IQ 进行大规模投资以实现更多功能
。我刚才提到
，餐饮业者目前会将很多工作外包出去
，比如通过营销来获取流量
，或者做账
、发薪和报税
。我们认为这里存在巨大的机会
，因为支撑这些体验的核心数据就在我们手里
。相比过去
，我们有机会让这些工作流变得更加**
“智能体化
”
（Agentic
）**
，从而把这些事做得更好
、成本更低
。
Can't lay out the bull thesis for AI enhanced POS better than Aman."
375737655,2026-02-11 04:20:22,132,62,3,https://xueqiu.com/9507152383/375737655,原文链接：网页链接以下是Gemini的翻译：Fiserv 是我们的核心重仓股之一。如果您对这个企业尚不熟悉，建议您阅读我们之前关于该公司的分析分账。Fiserv 今早刚刚发布了财报。股价在盘前一度下跌 5%，但在我撰写本...,"Fiserv 财报背后的故事
来自黑色面包的雪球专栏
来源
：雪球App
，作者
： 黑色面包
，
（https://xueqiu.com/9507152383/375737655
）
原文链接
：网页链接
以下是Gemini的翻译
：
Fiserv 是我们的核心重仓股之一
。如果您对这个企业尚不熟悉
，建议您阅读我们之前关于该公司的分析分账
。
Fiserv 今早刚刚发布了财报
。股价在盘前一度下跌 5%
，但在我撰写本文时已反弹上涨约 5%
。其财务数据基本符合业绩指引
，也符合我们的预期
。根据管理层对 2026 年的指引
，该股目前的交易价格仅为 2026 年
（处于低位
）调整后净利润的 7.73 倍
。考虑到该公司的业务质量
，我们认为其价值被严重低估了
。
尽管许多分析师正忙于根据新闻稿和财报电话会来更新模型
（或许还会借助 Claude Excel + Cowork 的帮助
）
，仔细梳理营业利润率
、调整后收益等数据
，但在整个电话会议中
，我们发现 Fiserv 首席执行官 Mike Lyons 的以下评论最值得玩味
：
“正如我们在 10 月份所言
，我们的整体业绩
（Headline Results
）低于未来的预期
，并且这种情况将在 2026 年上半年持续
，因为我们正在对核心业务进行投资
，并且面临前期非经常性收入占比较高的基数效应
。
重要的是
，我们继续引进资深人才
，以补充我上任时已有的高质量团队
。除了 Paul
、Walter 和 Dhivya
，我们还在技术
、Clover
（Fiserv 旗下的销售终端系统
）以及商户产品和销售等领域引进了多位领导者
。
”
许多投资者专注于财务指标
，利用纯粹的量化数据来评估一家企业是否
“便宜
”
，并以此作为投资决策的依据
。我们并不反对这种方法
，像沃尔特
·施洛斯
（Walter Schloss
）这样伟大的投资者正是通过这种方式创造了卓越的投资记录
。
然而
，我们认为数字只是组织内部人才付出汗水和努力
、创造卓越成就后的滞后结果
——人才是财务指标的起因
。我们坚信
：
“Felix
, qui potuit rerum cognoscere causas
”
（能知万物之因者
，是有福的
——维吉尔
，
《农事诗
》第二卷
）
。
Takis和他的铁杆亲信
我们在之前的分析文章中简要讨论过 Takis Georgakopoulos
。简而言之
，Takis 是摩根大通
（JP Morgan
）全球支付部门从无到有
、从弱到强的关键缔造者
——他将该部门从2007年仅有7名员工且几乎没有收入的状态
，打造成为拥有25,000名员工
、年收入超过200亿美元的
“皇冠上的明珠
”
。毫不夸张地说
，Takis 是支付领域不折不扣的传奇人物
。他并没有出现在电话会议上
，是背后默默做事的那个人
。
图1
：Takis 在为摩根大通服务17年后的告别派对上
。摩根大通董事长兼首席执行官 Jamie Dimon 发表了告别演说
。
上周
，Fiserv 新录用了三位高管
，其中两位是曾与 Takis 在摩根大通共创辉煌的老同事
。在过去的一年里
，Takis 凭借其个人魅力
，实际上已在 Fiserv 重组了他在摩根大通的
“密耳弥冬人
”
（Myrmidons
，意指忠诚勇猛的亲兵战队
）高管团队
。
图2
：Takis 和他在摩根大通的核心高管团队
。
以下是这几位关键人物的简介
：
Sanjay Saraf
： 摩根大通支付业务的前首席产品和客户官
，于2025年8月加入 Fiserv
。
Lia Cao
（曹利亚
）
： 此前担任摩根大通支付业务的嵌入式金融与解决方案全球主管
，上周加入 Fiserv
。Lia 本科毕业于清华大学
，拥有麻省理工学院博士学位
，还曾被评为2024年
“支付行业最具影响力的女性
”
。
Adit Gadgil
： 摩根大通电子商务与技术销售全球主管
，上周加入 Fiserv
。
上周还有一位并非来自摩根大通的新聘高管是 Robert Clarkson
，他是 Stripe 美洲区前首席营收官
（CRO
）
。
在我们看来
，这些人事任命比今天的财报发布重要得多
。 我认为可以从几个角度来解读这一观点
：
首先
， 虽然我们投资者可以轻易地
“用脚投票
”卖出股票
，但对于一家上市公司的高管来说
，跳槽的
“流动性
”要低得多
。这些顶尖人才绝非草率做出决定
。他们比我们大多数投资者更了解这个行业
，在做出这些不仅影响自身
、也影响家庭的重要职业决策之前
，他们拥有庞大的信息网络
（有时甚至是内幕信息
）
。
摩根大通支付和 Stripe 可以说是全球范围内最好的支付公司
，但这些高管却决定离开它们
，加入看似低迷的 Fiserv
——这只股票较一年前的高点下跌了75%
。为什么
？他们看到了什么
？他们是在拿自己的职业生涯开玩笑吗
？或者
，也许他们相信 Fiserv 拥有某种尚未反映在股价中的未来
——换句话说
，他们做出了一个与大多数当前市场参与者完全相反的决定
。在 Fiserv
，对于高级副总裁
（SVP
）以上级别的高管
，超过70%的薪酬将以股权而非现金形式支付
。
其次
， Takis 不再孤军奋战
。我曾对一位在 Fiserv 工作的朋友解释过
，我相信 Fiserv 的重生将是自上而下的
，现在看来我的直觉是对的
。从 Mike
（CEO
）到 Takis
（COO
）
，管理层更换了35位高级副总裁
（SVP
）
，切除了一些组织中的
“毒瘤
”
。随后
，这些高级副总裁将层层递进
，对其下属进行调整
，直到整个组织完成重建
。
第三
， 虽然有些人专注于财务指标
，但我们倾向于展望未来
，并将我们的资本和利益与顶尖人才绑定
，特别是当我们正处于稳定币支付和生成式人工智能
（Generative AI
）发生巨变的时期
。我个人花了数百小时研究这家公司
，研究它的所有产品线
、高管
、上游以及客户
。关于这家公司
，我所知道的可能比99.99%的市场参与者都要多
——然而
，除非我是这家公司的 CEO
，否则我对产品和服务的了解都毫无用处
，而不幸
（或许也是幸运
）的是
，我并不是
。我们需要找到一个我们可以信任的
、才华横溢的高管团队
。根据我们的观察
，Fiserv 的情况正变得越来越好
。
结论
Fiserv 2025年第四季度的财报基本符合其指引和我们的预期
。相比财报
，更令我们倍感欣喜的是该组织近期引进的顶尖人才
。Fiserv 仍然是我们持仓比例最高的股票之一
，我们认为它拥有最好的商业模式之一
，价格极具吸引力
，并且在全球金融生态系统中占据独特的地位
，在商户和金融机构领域拥有无与伦比的连接能力
。我们将热切关注来自摩根大通和 Stripe 的大师们将如何在这个变革时代中谱写棋局
。
$费哲金融服务(FISV)$"
375324776,2026-02-07 10:49:12,66,13,1,https://xueqiu.com/9507152383/375324776,$BILL Holdings(BILL)$ 单日上涨37%，Hellman & Friedman有意收购，如果确实收购的话，估计股价还有至少20%的上行空间。支付公司拥有着不比SaaS差的商业模式（很多本身就是水平或垂直软件整合的），却以SaaS暴跌后的零头的估值交易着。如果继续以这种可笑的估值交易，我们今年年内应该可...,"来源
：雪球App
，作者
： 黑色面包
，
（https://xueqiu.com/9507152383/375324776
）
$BILL Holdings(BILL)$ 单日上涨37%
，Hellman & Friedman有意收购
，如果确实收购的话
，估计股价还有至少20%的上行空间
。
支付公司拥有着不比SaaS差的商业模式
（很多本身就是水平或垂直软件整合的
）
，却以SaaS暴跌后的零头的估值交易着
。如果继续以这种可笑的估值交易
，我们今年年内应该可以看到更多支付领域的收并购
。
其他行业我不懂
，金融行业
，尤其是银行与汇款行业的商业模式可不是说你写几个软件出来就可以的... 甚至可以说
，代码是最廉价
，最没用的东西
，在这个行业
，
“技术领先
”从来就不是制胜法宝
，以前不是
，以后极大概率也不会是
。那么什么是最重要的
？和现有系统的整合
（比如核心处理系统
）
，出了问题之后的支持能力
，私域积累的大模型无法触及的天量数据和边角案例(corner cases)
，以及最最重要的 -- 监管合规
，AML/KYC
。可能一个大客户可以复刻一个Investran类似的软件
，但是如果出了问题
，吃了官司
，找谁问责
？监守自盗的道德风险
？对于所有这些最最敏感的东西(namely, MONEY)
，对于一个采购
，永恒不变的一点是
，买一个响当当的品牌
，这样出了事
，也不会被问责
，
“别人都买这个嘛
”
，斯之谓也
。这就是为什么很多创始公司免费送核心处理系统银行都不愿意要
，对于那些红眼小公司(fly-by-night small companies)
，人编的不会要
；AI编的
，也不会要
。
$费哲金融服务(FISV)$$繁德信息技术(FIS)$"
373859613,2026-01-29 21:53:46,95,18,4,https://xueqiu.com/9507152383/373859613,回复@黑色面包: 你发了一大段AI的观点，我说AI错了，然后你再去追问AI，然后再给我看一大段AI的观点。记得前阵子发了个帖子，下面的回复基本大半全是AI… …雪球上这一点非常明显，人开始逐渐失去自己思考的能力，甚至有不少人可能现在做决策已经离不开AI了。这对于能独立搜索信息并思考判断...,回复@黑色面包: 你发了一大段AI的观点，我说AI错了，然后你再去追问AI，然后再给我看一大段AI的观点。记得前阵子发了个帖子，下面的回复基本大半全是AI… …雪球上这一点非常明显，人开始逐渐失去自己思考的能力，甚至有不少人可能现在做决策已经离不开AI了。这对于能独立搜索信息并思考判断的人来说未尝不是好事。大多数人本来就是随波逐流，没有独立思考和判断的能力的。AI的存在对于这些人来说，不是一种时髦，而是一种降智。//@黑色面包:回复@陌路人在:这个AI可能连阅读理解都不会？cms说的是算上risk coding会加到2.54%，4月份至少会有这个数字吧。
373621127,2026-01-29 00:46:55,80,27,1,https://xueqiu.com/9507152383/373621127,$Carvana Co.(CVNA)$ 终于有人挖出了让真相大白于天下的大杀器 — DriveTime的财务报告。DriveTime才是这整个Case最有意思的部分。Disclosure: we are short Carvana,$Carvana Co.(CVNA)$ 终于有人挖出了让真相大白于天下的大杀器 — DriveTime的财务报告。DriveTime才是这整个Case最有意思的部分。Disclosure: we are short Carvana
372668691,2026-01-23 14:38:09,75,7,2,https://xueqiu.com/9507152383/372668691,不错，回购提案在特别股东大会基本全票通过了，希望接下去能够实施吧，虽然现金不全在母公司账上，但这种低估的情况下回购是比分红更对股东有利的回馈方法。$中国通信服务(00552)$最近我们的另一家持仓$昆仑能源(00135)$ 也宣布了回购。两家公司派息比例也都会继续提升。这些国企治理的边际改...,不错，回购提案在特别股东大会基本全票通过了，希望接下去能够实施吧，虽然现金不全在母公司账上，但这种低估的情况下回购是比分红更对股东有利的回馈方法。$中国通信服务(00552)$最近我们的另一家持仓$昆仑能源(00135)$ 也宣布了回购。两家公司派息比例也都会继续提升。这些国企治理的边际改善，还是挺喜人的。
