ID,发布时间,摘要,点赞数,评论数,转发数,链接,正文
378066166,2026-03-05 07:46:06,$st垃圾回调买(ZH3391298)$ 昨天发现居然有量化搞雪球跟单推广，这个不可控风险太大了，思考再三还是决定关闭组合，望大家周知……,44,47,0,https://xueqiu.com/8414489464/378066166,"来源
：雪球App
，作者
： 梦游坤哥
，
（https://xueqiu.com/8414489464/378066166
）
$st垃圾回调买(ZH3391298)$ 昨天发现居然有量化搞雪球跟单推广
，这个不可控风险太大了
，思考再三还是决定关闭组合
，望大家周知
……"
377518856,2026-03-02 10:16:50,$*ST凯鑫(SZ300899)$ 这个是乌龙指吗？七百多手扫到涨停板……,19,10,0,https://xueqiu.com/8414489464/377518856,"来源
：雪球App
，作者
： 梦游坤哥
，
（https://xueqiu.com/8414489464/377518856
）
$*ST凯鑫(SZ300899)$这个是乌龙指吗
？七百多手扫到涨停板
……"
376834458,2026-02-25 10:13:34,$*ST松发(SH603268)$ 为解放百亿解禁资金贡献了一份绵薄之力，这不会被埋了吧……,10,8,0,https://xueqiu.com/8414489464/376834458,$*ST松发(SH603268)$ 为解放百亿解禁资金贡献了一份绵薄之力，这不会被埋了吧……
376643736,2026-02-23 21:52:45,$*ST松发(SH603268)$ 松发真是碰上了好时候……,19,2,0,https://xueqiu.com/8414489464/376643736,"来源
：雪球App
，作者
： 梦游坤哥
，
（https://xueqiu.com/8414489464/376643736
）
$*ST松发(SH603268)$ 松发真是碰上了好时候
……"
375942068,2026-02-12 10:31:23,在现在这个敏感的时间窗口，有些 st 总是跌着跌着就让人感觉他要寄了。如果你发现某个带星风险股走势异常，最好打开业绩预告看看会计所是什么意见，若是没有表态，那就再看一看走势，想清楚有没有可能是内部资金出逃导致的。比如，某养牛 st，这怎么也不可能是正常走势吧……,16,9,0,https://xueqiu.com/8414489464/375942068,在现在这个敏感的时间窗口，有些 st 总是跌着跌着就让人感觉他要寄了。如果你发现某个带星风险股走势异常，最好打开业绩预告看看会计所是什么意见，若是没有表态，那就再看一看走势，想清楚有没有可能是内部资金出逃导致的。比如，某养牛 st，这怎么也不可能是正常走势吧……
375537443,2026-02-09 18:25:54,现在这市场，摘帽都没有加星涨得猛，说明市场还是最看好有自救紧迫性的垃圾股。没加星之前，大家觉得你做事拖拉不靠谱，加星之后，大家反而相信你在死亡威胁下会爆发出强烈的求生意志，倾尽全力进行自救。至于是不是真有动作不重要，消息空窗期，说你有你就有，资金打几个涨停上去，你说没动作谁信...,22,8,0,https://xueqiu.com/8414489464/375537443,"来源
：雪球App
，作者
： 梦游坤哥
，
（https://xueqiu.com/8414489464/375537443
）
现在这市场
，摘帽都没有加星涨得猛
，说明市场还是最看好有自救紧迫性的垃圾股
。没加星之前
，大家觉得你做事拖拉不靠谱
，加星之后
，大家反而相信你在死亡威胁下会爆发出强烈的求生意志
，倾尽全力进行自救
。至于是不是真有动作不重要
，消息空窗期
，说你有你就有
，资金打几个涨停上去
，你说没动作谁信啊
。不过需要注意的是
，现在市场博弈前置
，后面真加星不一定能涨
，没动作或者动作低于预期的可能就走 A 了
……"
374985921,2026-02-05 10:56:11,除非打算干一票就跑，不然我是真不建议专注于炒某人作业。因为就我的观察来看，能够让人长期保持稳定盈利的东西，都是在跟市场磨合中挖掘出来的个人特质，这是百分百无法从抄作业中获得的。当你独自思考做出一个交易计划，做好买点卖点，风险控制，仓位管理，等等，当交易完成你就获得了一次交易经...,32,22,0,https://xueqiu.com/8414489464/374985921,"来源
：雪球App
，作者
： 梦游坤哥
，
（https://xueqiu.com/8414489464/374985921
）
除非打算干一票就跑
，不然我是真不建议专注于炒某人作业
。因为就我的观察来看
，能够让人长期保持稳定盈利的东西
，都是在跟市场磨合中挖掘出来的个人特质
，这是百分百无法从抄作业中获得的
。当你独自思考做出一个交易计划
，做好买点卖点
，风险控制
，仓位管理
，等等
，当交易完成你就获得了一次交易经验
，事后复盘总结你又获得了一次宝贵经验
。如果你有了一次成功交易
，你就可以尝试重复这种成功经验
，让它一直保持下去
，保持的时间足够长
，恭喜你
，你已经具备了稳定盈利的能力
，你也是一个大神了
。抄作业只是饮鸩止渴
，真想长期稳定发家致富还是要靠自学炒股
……"
374668350,2026-02-03 18:34:42,,5,3,0,https://xueqiu.com/8414489464/374668350,
374646036,2026-02-03 16:15:56,有券商研报覆盖的 st，除了这八个，还有没有其他？,16,22,0,https://xueqiu.com/8414489464/374646036,"来源
：雪球App
，作者
： 梦游坤哥
，
（https://xueqiu.com/8414489464/374646036
）
有券商研报覆盖的 st
，除了这八个
，还有没有其他
？"
374195130,2026-01-31 16:52:23,到了现在这个阶段，上市公司能做的基本都做完了，他们有什么看法也不重要了，重点是审计机构有什么看法，交易所有什么看法，这两方意见才会真正决定生死……,18,7,0,https://xueqiu.com/8414489464/374195130,到了现在这个阶段，上市公司能做的基本都做完了，他们有什么看法也不重要了，重点是审计机构有什么看法，交易所有什么看法，这两方意见才会真正决定生死……
374194658,2026-01-31 16:46:12,中兴财光华和永拓被暂停证券业务的影响还是显现了出来，可以明显感觉到会计所给突击保壳股背书的意愿非常低。如果业绩预告之前没能摆平会计所的，指望预告再去摆平也不太现实。此时此刻，这些措辞模棱两可的风险股，可能还是趁着还有一些讨论度赶紧跑路会更加稳妥，毕竟任何看似美好的想象，在退市...,17,7,0,https://xueqiu.com/8414489464/374194658,"来源
：雪球App
，作者
： 梦游坤哥
，
（https://xueqiu.com/8414489464/374194658
）
中兴财光华和永拓被暂停证券业务的影响还是显现了出来
，可以明显感觉到会计所给突击保壳股背书的意愿非常低
。如果业绩预告之前没能摆平会计所的
，指望预告再去摆平也不太现实
。此时此刻
，这些措辞模棱两可的风险股
，可能还是趁着还有一些讨论度赶紧跑路会更加稳妥
，毕竟任何看似美好的想象
，在退市的膝盖斩面前都不值一提
。市场可玩的标的那么多
，完全没有必要去赌会计所的枪里没有子弹
……"
