ID,发布时间,点赞数,评论数,转发数,链接,正文
350252814,2025-09-01 10:57:49,243,376,44,https://xueqiu.com/1965894836/350252814,外卖竞争会收敛，但到店竞争会激化。
336166744,2025-05-23 14:05:53,164,8,3,https://xueqiu.com/1965894836/336166744,接上文，我尽可能不用“高确定”或其他类似正面的词去形容我们的决策，毫无意义但弊端明显，给自己错误的心理暗示。是不是有什么风险没有注意，为什么这种好事会轮到我们，对我是更好的形容词。
331908017,2025-04-16 22:27:53,316,5,3,https://xueqiu.com/1965894836/331908017,美国的剧情我想好了，几个大科技陷入困境（反垄断、关税、数字税…），大总统力挽狂澜，他们欠下人情（留下把柄）。
331719557,2025-04-15 16:00:22,601,7,7,https://xueqiu.com/1965894836/331719557,没有人喜欢在记录自己思考的地方，收到莫名其妙“汉奸”这种谩骂的，我只能选择改变评论规则一段时间。
327394997,2025-03-14 15:52:02,94,42,6,https://xueqiu.com/1965894836/327394997,原来aapl和cost是同一批玩家。
304977826,2024-09-19 10:54:27,608,0,0,https://xueqiu.com/1965894836/304977826,又一起对外国小朋友的袭击，长此以往，世界会怎么看我们，入境消费的恢复势头还能持续吗？
294524492,2024-06-20 15:08:10,85,18,0,https://xueqiu.com/1965894836/294524492,都是海里的，股息倒挂了。
291986369,2024-05-30 13:30:50,59,30,12,https://xueqiu.com/1965894836/291986369,麻烦分享一些写提示词的实用教程，感谢
282777616,2024-03-20 13:14:46,92,29,1,https://xueqiu.com/1965894836/282777616,财报都扎堆在这几天，看不过来
273120848,2024-01-01 18:24:20,462,162,40,https://xueqiu.com/1965894836/273120848,
270516629,2023-12-12 14:49:57,297,110,14,https://xueqiu.com/1965894836/270516629,
266685344,2023-11-13 15:32:10,131,4,1,https://xueqiu.com/1965894836/266685344,我现在一年的换手率是300%，整体净多过去三年一直维持在50%到60%，具体到每个企业的仓位是根据估值和经营趋势动态调整的，多空合计持有30到40个标的，分布在中港美三个市场，因此我不太乐于讨论单个股的操作，有可能我们是一个对冲组合，猜到某一个标的，并不知道我们空了什么，或者在多其他什么互相对冲，可能反而容易误导；收息股部分我们单边持有了3年，是因为估值、息率、经营趋势我都满意，这是一个结果，但如果出现更好的选择，我也会调整。在雪球上我只是记录我的思考，我一直觉得就交流而言，事实大于理念大于观点，但吸引眼球的往往是观点（最无用的部分），我没有一点意愿成为所谓带头大哥，我的工作是对我的投资人尽责。
265437692,2023-11-02 15:14:50,158,9,7,https://xueqiu.com/1965894836/265437692,对我来说，不是价格涨了，然后把他们卖了，而是回报不够了，看不清了，我会换回报更好的资产。所以有时候人和人彼此理解也挺难的。我当然会有我的判断，但首先是我满意这个资产给我的回报，这个先后顺序导致了一些分歧吧。
