发布时间,正文
2016-05-26 09:31:54,一个年增长率6.5%的国家，一个转型消费者拉动经济的国家，优秀的面向消费者的企业股价低迷不振；而一个显然进入了民间停滞(secular stagnation)增长不到2%的国家，企业股价却在一再刷新纪录。这是可笑的。市场短期是投票机，但我相信长期它一定是称重机。要牢记：你必须用永恒的眼光看待事物（格拉沃姆引斯宾诺莎）。如果你没有耐心等待成功，那就只好用一辈子的耐心对待失败。$阿里巴巴(BABA)$ $京东(JD)$ $欢聚时代(YY)$
2016-12-12 12:19:39,$双汇发展(SZ000895)$ 对双汇做了一个估值。双汇的重置成本大概在250亿元左右、对应7.6元每股；双汇具有明显的特许经营权，其价值大概在240亿，因此其收入能力价值大约在490亿元左右，对应为14.8元每股；其增长价值为1180亿元，对应36元每股。对于保守的价值投资者（不愿意为盈利式增长买单的投资者），双汇发展不具备投资价值，没有安全边际。但如果你相信双汇能够利用其龙头优势整合其产业并利用其规模经济效益继续盈利式增长，则双汇目前具有较大的折价（就算给30%安全边际仍有20%的上升空间到达内在价值）。本人持有双汇。
2017-02-15 06:16:07,好文。增长点分析的很到位。
2017-08-28 12:14:51,美的和格兰仕的战役可以研究研究，感觉很有趣。
2017-09-26 11:25:34,"$PHI, Inc. - Non-Voting(PHIIK)$ 这家公司主要做直升机运送服务，营业额来自两部分，一部分是在墨西哥湾的off shore drilling，一部分是遍布全国的医用直升机运送服务。过去一年因为石油直升机运送业务的重组（管理层误判了石油价格低迷的持续时间，因此16年没有重组），裁员造成的severance fees，以及几个基地的关停营运。这个公司从1949年就存在了，一直占据着直升机运送这一利基市场，有很强的staying power。公司一开始主要做石油，后来扩展到医用。医用相对比较稳定，正常化盈利大概是3000-4000万，给10倍市盈率大概是3-4亿，目前市值1.9亿，待上半年的一系列重组过去后有翻倍的可能。从重置成本角度看，直升飞机的使用寿命很长，医用的可以用20年，石油运输的重型直升机可以用30年以上。由于之前囤积了不少直升机，因此未来资本开支会减少，自由现金流会增加，另外由于美国财务会计要求，5年以后对直升机的改造，新的组件的配置必须都expense掉，而不能资本化后逐渐折旧。这导致了这个行业中很有趣的现象，就是10年之后卖出的直升机比买入的还贵，价值更是远远高于账面价值。就算我们看账面价值，这个公司也值36美元/股。除去油气重型直升机机群，重置成本也在20美元/股以上。未来企业还签订了墨西哥湾之外的四个合作协议，主要在澳大利亚等地的海上油田，这能够帮助活跃闲置资产，将在三季报（11月初）公布。投资这个烟蒂的基本逻辑是：等待重组裁员关停事件后单医用直升机板块的营收正常化，就能让股价回到15-20的区间，大概在18年底到19年初即可实现，而海上油田运输业务可以当作一个看涨期权，如果油价反弹到60以上，股价完全可能走到一倍市净率，或者至少30美元/股以上。CEO Gonsoulin一直在买入自家股票，拥有voting加non-voting share一共310万股，占所有流通股的近20%，因此和投资者的利益也有足够的契合。公司有5亿5.625%的债务2019年到期，1.5亿revolving credit line，2.4亿现金。19年能再融资3亿债务，并用现金支付剩余，即使按照现在的债务市价(7.0%的yield），也能够起到节约债务利息支出的效果，再加上光是医用直升机就能够实现大概4000-5000万的自由现金流，业务本身比较稳定，所以staying power不是问题。市场因为石油板块而给予这个企业非常消极的估值，加上管理层从来没有earnings call，不参加任何投资者会议，也没有analyst coverage，因此有很大的价值回复空间。保守起见，看到19年底股价回复到20美元/股，年化收益25.9%，是非常保守的估计。"
2017-10-01 11:23:10,可喜的是，詹姆斯·马奇又指出，在有些情景下，有利于长期生存的属性，会让短期生存困难重重或根本不可能；反之，允许短期生存的属性却会损害长期生存。价值投资应该属于前者。
2017-10-07 12:21:23,本想写一篇关于正保的文章的，看了此篇及作者的留言，无以复加。朱正东是个在北京骑三轮车卖小电器起家的，可以在员工门口程门立雪等其回心转意的CEO，17年来未尝有所懈怠。和美国两位基金经历推荐过这只股票（另一只是JP），但他们都以不了解中国会计信息为由而没有投资。
2017-10-07 23:18:08,好文。飞刀下跌可以历时极久。CMG:按480跌到300的价格，15年顶峰的盈利仍然有20倍市盈率。SDRL:大宗商品唯成本低不破。VRX:墙后永远不止一只蟑螂。C:银行的账面价值极难衡量，不像是低负债具盈利能力有大量存货或应收账的企业，此时选择购入优先股或债券保护性更好。不急不贪，长治久安。
2017-10-10 03:39:32,"$维亚康姆B(VIAB)$ 市场恐慌起来真是没边...$25.446每股果断买入...关注了三个多月...7倍市盈率，15%的free cash flow yield，你给我这个估值，就可以买入黑人影视的瑰宝BET，孩子的最爱Nickelodeon, Comedy Central, Channel 5，AND, LAST BUT NOT LEAST, Paramount Studio！... 1960年六家studios，现在还剩五家半，60年过去了，这是什么staying power，这是什么durable competitive advantage！... Paramount的评分在2007-2011都是位列第一，最近几年滑坡比较厉害，月盈月缺，周期而已，没什么好大惊小怪，关键看现在的管理层。买这只股票是对Shari Redstone的眼光的信任，是对Bob Bakhish的能力的信任。Bob走马上任，立即砍分红，降负债近10亿美元，增加公司的自由现金流，并在过去一个季度内实现几乎所有channel的评分全部上升，所有经营指标全部反转，连Shari都惊呼，Viacom的文化在剧变！Bob是什么人？在维亚康姆过去几年萎靡不振的时候，其国际分支竟然年年营收净利增长，没错，这个分支的老大就是Bob。尽管此君其貌不扬，但经营手腕实在不一般。Viacom同时在与Discovery等其他企业合作形成skinny bundle应对cord cutting。和$维亚康姆(VIA)$ 的价差达到33%，这个差价已经快要延续两个月了，也算是历史一绝，关键是维亚康姆的80%的投票权集中在Redstone家族，剩下的10%在43年年化收益16.5%的价投大神Mario Gabelli手上，因此就算支付这个33%的溢价，对公司运营的决策权也是毫无影响作用的。问题来了，蠢的究竟是VIAB的股东，还是VIA的股东呢？... 最后扯一句，什么流媒体，都是借口，Amazon泛滥时代的零售行业，不TJ Maxx不是照样一支大菊花，不还是有很多specialized的区域性零售做得风生水起！PC Wintel联盟横扫天下的时候，不照样有路易盖世纳带着IBM扭亏为盈，股价十倍！企业家最要不得的就是犯基本归因谬误，什么事都向外找原因，什么事都是尼玛老子的竞争对手太强，资本市场本来就是个弱肉强食的竞技场，你跪了，是因为你无能，永远不要抱怨你的对手太强。这样的企业家见一个应该滚蛋一个，而据我观察Bob应当不位于这个行列。期待维亚康姆的反转，不到50块一股，想都别想着卖。"
2017-10-11 00:55:54,Beautifully written. Definitely my cup of tea.
2017-10-20 03:46:41,$Liberty Global plc - Class C Ordinary Shares(LILAK)$  $Liberty Global plc - Class A Ordinary Shares(LILA)$ 市场担心两次飓风的影响。Lila的资产都有保险，因此损失基本覆盖。完全恢复经营需要一定的时间，但不影响企业的内涵价值。今日21.3美元每股继续买入，double down。
2017-10-21 05:06:52,写得很赞。背靠平安集团，坐拥数据客户资金的支持，前期扩张过渡造成的市场负面情绪仍在。如果零售能够按照预期增长，加上不良拐点的接近与核销需求的降低，平安银行可能会是一匹黑马。 $平安银行(SZ000001)$
2017-11-01 02:22:30,$Seritage Growth Properties Class A(SRG)$ 今年6月份39.6买入，预计西尔斯会出利空，上个月46-47区间抛出，今天40.84再次以原头寸买入。假设10年后6%资本化率，市值在120亿，年化20%；假设需要注入十亿净资产稀释30%股权，年化16%；假设又稀释又因加息资本化率到7%，年化14%。这个回报我可以接受。
2017-11-02 11:31:04,$银科控股(YIN)$ 路透社并没疯。四年十倍的净利增长，高度碎片化的现货市场提供巨大的增长空间，16年对金大师收购形成黄金相关交易品种的占优市场份额，以及在这个领域的品牌效益合在一起让7倍市盈率显得可笑不堪。市场担心广贵交易中心业务因此腰斩了股价，但是完全忽视了公司本身的战略转型。
2017-11-03 03:53:58,$探索频道(DISCA)$ 双倍下注。美国network营业额上升4%，OBIDA上升5%，国际尽管汇率不利，营业额依然上升11%，OBIDA扁平，去除汇率因素净利上升14%，去除汇率因素和Scripps的交易成本，自由现金流同比上升43%。Subs减少3%是最大的利空，但我相信Scripps的协同效应能够扭转这个局面，并选择承担此风险。
2017-11-05 03:12:48,$双汇发展(SZ000895)$ 27.6卖出七成双汇仓位，两次买入，51%的IRR。17年蓝筹的估值修复，第三季度净利同比下降的收窄，“喝酒吃药”行情导致的消费股上涨，一起减小了双汇的安全边际。回头看，其实当时对双汇的增长估值还偏乐观，一年后事实上我对双汇的上界估值下调了，现价已超过内含价值的80%，故卖出。一记之。
2017-11-08 06:49:47,$Veritiv Corporation(VRTV)$ 今天这家倒霉蛋公司怒跌了20%报收25.90美元/股，再次刷新历史新低。之前之所以引起我的关注是因为卡拉曼从14年底开始就买了这只公司，最近在10月10日左右以大概32美元/股加仓9339股，现在共持有3053724股，等于这个公司19.45%的股权。这家公司是由UWW Holdings（贝恩资本和Koch Industries旗下的Georgia-Pacific是主要股东）和国际纸业（International Paper）的分配方案部门(Distribution Solutions)合并后上市的。这个公司上市的时候调整后EBITDA 1.45亿，管理层预期能实现1.5-2.25亿的协同效应，预期17年的EBITDA能够达到2.45亿。17年到了，调整后EBITDA大概1.5亿，远不及预期，原来预期的90-100亿的营业额也没有达到（现在83亿左右）。假如这个管理层能力很强，那么14年卡拉曼买入的价格是38美元/股，如果17年给6倍EBITDA（由于公司有半壁江山都是i夕阳产业，这个EBITDA乘数不高），扣去债务后每股价值大概在25%的年化回报，看起来是不错的，加上逐渐偿还债务，以及包装解决和设施解决方案两块的成功增长，或许能够带给企业更高的估值。可是不要忘了，从历史数据来看，70%的企业合并的所谓协同效应，永远都不会发生！... 公司分四个主要板块：包装解决，打印，出版，和设施解决方案。不知为什么我一直对这个公司的管理层很不喜欢，因为这个管理层总是喜欢闪烁其词，让我这个天生悲观的人总能嗅到牛屎的味道。譬如这个季度吧，包装解决方案8亿的营业额，但EBITDA率从8.1%降到了7.8%；设施解决方案3.4亿营业额，EBITDA从4%降到了1%；打印7.02亿营业额，出版2.39亿营业额，EBITDA率降低了40个bp。所以其实是全线溃退，但管理层的ppt中ceo依然大言不惭地说这是一个strong quarter，假设这是strong quarter，请问过去一年的同一季度算是什么quarter？电话会议中ceo提到核心销售增加，但实际上核心销售减少了3.2%，当然，这个季度比起16年少了2天，但就算调整掉之后核心销售依然减少了0.5%。明明是个各个部门都不给力的季度，为什么不承认呢？...不是我性别歧视，这个ceo是不是太女权了所以死要面子活受罪？还有一个让我竖起我的愤世嫉俗小天线的是公司喜欢汇报的所谓adjusted EBITDA，这是对EBITDA再做调整，调整掉重组成本，调整掉兼并整合成本。但问题是故事说了好几年了，怎么重组还没完成好啊？今年又重组掉了3000万美金。如果每年都要重组成本，那就请不要把这个项目调整掉。这个季度管理层继续说整合困难重重，看来这个重组成本还会再现。唯一的亮点就是可以用比卡拉曼低得多的资金买入这个企业。公司的账面价值34.6美元/股，PB乘数0.74。再烂的企业，卖的价格足够低，也可能是好资产。总之，观察VRTV的这段时间里，我得到的结论是--这不是一个我喜欢的管理层，我也不太愿意做这样的企业的股东，加上又是夕阳产业，自己也有小仓位的LSC Communications因此有了打印和包装这个产业的风险暴露，所以暂且先用Robinhood买10股来观察观察吧。
