发布时间,正文
2019-12-26 14:31:32,分享我今年在知乎上看到的最有价值的一篇回答特朗普反对全球化并且要把制造业移回美国能否成功？ - 张抗抗的回答 - 知乎 网页链接
2020-03-28 15:10:35,$中国神华(SH601088)$ $中国神华(01088)$ 【分享投资中国神华的几个关注要点】 现金流极佳，账面现金超1000亿现金、有息负债仅400亿的中国神华已发布19年年报，同时公告承诺19-21年度将派息率由40%提高到不低于50%（实际按60%执行）。相信今后这一股息分派政策将延续，而公司的估值理应有所提高。（一）竟争力神华的资源禀赋极佳：开采条件好、开采成本低，煤质好且开采年限长。目前矿产开采年限在50年左右，几近永续经营。而公司特有的煤、运、电、港一体化经营模式，能够有效平滑煤炭周期带来的业绩波动。此外，神华在行业中具有很强的话语权，其他煤企往往是跟随神华定价跟进报价调整。这些特点都可以保证公司保持长期、持续的竞争优势。（二）关于定价机制煤炭价格虽具有周期性，但长期来看，煤价总是趋于上升的（看长期价格走势图会一目了然）。因为货币总是在贬值的，而开采成本总是在上升的，离消费区近的低成本矿井也是在不断衰竭减少的。 供给侧改革以来，发改委将煤价设定在500一570元/吨区间，这个价格区间，是综合考虑了煤、电行业的健康发展、全社会的用电成本及就业因素平衡的结果。 因此在对煤企估值时，不必过于关注短期的价格波动，以绿色区间中位数535元/吨进行假设即可。（三）供需目前全国煤企产能一共大约是40亿产能，综合其中新、旧矿的情况，平均开采年限取40年，由于近年投产新矿较多，故取年衰竭1%即4000万吨保守数字进行假设估算，则未来10年，国内产能共计会减少4亿吨左右。因此较长期看，我国煤炭消费供过于求的情况是会逐渐趋于平衡的，而供不应求、必须以进口来弥补会成为未来的常态。从我国煤炭供应情况来看，东部和中部地区是未来产能减少的主要区域，而神华公司的主产区陕北和蒙西将会是主要的增长区。（四）关于替代性能源煤炭在一些国家的资源消费占比不断下降，很大一部分是被天然气所替代，但我国少油少气的特征，已决定在我国大规模使用天然气替代煤炭缺乏可行性。 其次，电网的安全稳定运行，对光优和风电是有上限要求的。根据相关专家的意见反馈，我国用电的特点决定这二者的上限比例很难超过20%。这决定了在往后相当长的时间内，我国煤炭消耗总量不会出现大的下降。（五）进口煤国家目前对进口煤实行的是配额制，弥补国内不足，同时调节稳定煤价。（六）增长和资本支出未來5年公司的增长点主要在：①分年收购集团6000万吨的权益煤炭产能。②等待建成的新街矿区，该矿区规划第一阶段6000万产能，远期将达1亿吨。③在建的黄大铁路及印尼电厂投产。这三项投资大约会带来每年70一120亿利润。为完成上述投资，在当前资本支出基础上，需每年增加大约100亿左右的投入。同时，所投资项目可增加现金流50亿/年。（七）利润及自由现金流评价煤炭企业的盈利水平，不应拘泥于某一年的高低，关注一个时期内平均水平会更为合理。在全行业90%以上企业亏损的2015年，神华仍能盈利200亿，其余绝大部分年份中盈利均在400亿之上。供给侧改革的大背景和公司未来几年投资项目带来的利润增量，可使公司维持年400亿左右的利润水平，5年后利润则可上升至500亿左右。 公司进入低资本支出阶段后，年自由现金较利润应会高出50一100亿。即使按最新60%派息比率派息，公司帐上每年仍可净增加现金200一250亿，则5年后帐上现金可达2500亿水平，依然有能力派特别股息。（八）估值年利润400+亿，自由现金500亿+，账面现金储备超千亿，同时有息负债区区400亿——在当前低利率大环境下 ，神华无疑具有很大的配置价值。以保险等长期资金5~6%的收息要求，公司年派息250一300亿的水平，应对应5000一6000亿市值。目前保险资金对神华几乎是零配置，其实神华是很值得险资介入的优秀标的。以实业运营重置成本的角度看，当前股价对应市值仅仅只够买下公司的矿权。矿山建造、铁路、电厂、港口等等相当于白送，属于一目了然的极度低估。  以上都谈的是神华的优点和投资神华的正面逻辑，至于疫情、油价大跌等负面因素带来的风险，在当前的估值下，可以说风险远小于机遇。@今日话题
2020-07-03 14:38:32,$美兰空港(00357)$ 今年翻了快两番才11倍PE...也真是只有港股市场能有这种神奇的机会了
2020-07-10 10:27:29,$顺丰控股(SZ002352)$ 市值超过$联邦快递(FDX)$ 了...
2020-09-25 18:40:25,近期的打算：将TOP 30房企按照现金/有息负债比、销售额和货值筛一筛，结合当前市值性价比做个组合，我有很大的信心这个简单策略能在未来三年显著跑赢大盘。
2020-10-21 14:40:32,如无意外，今年淘宝直播GMV将达到5000亿元的规模。今日0点是“双十一”预售首战，李佳琦、薇娅直播间的累计观看人次分别超过1.6亿和1.4亿，仅此两家头部主播的预售额短短数小时内便达到近70亿。淘宝直播对于手淘乃至阿里的意义，不止于创造了一个新的GMV增长点，甚至也不止于直播打通C2M；淘宝直播的成功是阿里巴巴内容电商化建设的重要成果，通过高频次、强交互性和泛娱乐内容大大提高了用户黏性（截至2019年底，日均观看时长超过1小时的用户增长40%，今年的数据只会更亮眼）。没事上多逛逛、多看看，而不仅仅是买东西时才想起淘宝——这对于淘系电商而言属于修炼内功的一部分，也许不一定从GMV上显现出来；但一个挺有意思的数据是，许久以来被认为“永远缺流量，全网买流量”的阿里（相对应的是“永远不缺流量，全网从它这进口流量”的腾讯），20财年的销售费用率已首次降至10%以下，21财年Q1（即2020年Q2）销售费用率仅8.8%。$阿里巴巴-SW(09988)$
2020-11-19 18:35:01,$富途控股(FUTU)$ 后知后觉完美错过富途真的不愧是鹅厂的人搞出来的，这个用户体验真的...用过之后觉得别的券商都是浮云的地步。
2020-11-20 18:22:56,$哔哩哔哩(BILI)$ 阿B是唯一一个我对它未来能挣几个钱（指利润，营收还是估估）毫无观念但也愿意买的风投标的。其实广告多放几个，扭亏是不难的；假设用户体验因此而玩坏了，最差也就是现在的微博。但是没有，团队目前给人的感觉对于商业化还是极其谨慎，对用户体验和社区营造仍旧放在第一位。B站是具备烧钱烧不出来的独特之处所在的：用钱可以打造出一段时期内持续提供优质内容的能力，却打造不出优质内容产出者与用户良性交互带来的那份“归属感”。我已经不记得自己学生时期开始用哔哩哔哩是来看哪部动画的了，但书籍、影视、游戏...无论我发展了什么别的兴趣领域，我都会在回味之余想到去看看B站上的up主基于这些东西会有什么二次创作，弹幕里的网友会不会和我有共鸣。从某种意义上而言，这属于无价之宝。
2020-11-27 14:12:01,一个反直觉的冷知识：从2018年初开始到现在，其实$腾讯控股(00700)$ 涨得没有$阿里巴巴(BABA)$ 多...
2020-12-24 11:52:34,$阿里巴巴(BABA)$ 其实现在的价位真的让人很心动，然后转头一看$腾讯控股(00700)$ 也快到心理加仓价550了，又开始纠结...
2021-01-09 16:03:43,$中国移动(00941)$ 1000+亿利润、8%股息、赚的全是实打实的现金流，总有人在感叹互联网时代消息灵通信息发达，找到符合格式古典价投法的低估标的是多么困难；现下这可不就是个实打实的完美范例？
2021-01-19 14:02:19,$腾讯控股(00700)$ 听2021微信公开课，这个商业模式太顶级了，你的合作伙伴、上游下游、乃至竞争对手，都在努力地帮着你夯实自身的生态......小程序：年均DAU超过4亿，2020年交易额同比增长100%；年活跃小程序数增长75%，用户在小程序上消费的金额增长67%。企业微信：已连接微信用户超过4亿，从2019年的2万家合作伙伴增长至8万家（yoy+400%），开发接口540个，累积接入系统总数1191万个（yoy+250%）。案例——周大福 品牌会员复购率20%上升至50%搜一搜：月活已超过5亿+微信小游戏：MAU超5亿，商业变现规模2020相比2019+20%；人均游戏时长+50%、人均款数+20%。
2021-02-04 20:03:59,快手暗盘直接翻两番超过2000亿美金了，在群里感叹了一句，按照这个搞法，字节要上是不是直接搞到3万亿港币。结果券商朋友回复说，其实现在放风已经喊到5000亿美金了如果这样估值算“合理”，那我得说$腾讯控股(00700)$ 属于“极度低估”
2021-02-05 14:13:20,一个真实故事：母上大人过去十几年做股票，从没挣到钱过。自我入行以来，不时给她传播价投理念，虽然现在她对估值体系、研究方法仍旧一窍不通，唯独记住了一样：拿住好公司，就一路拿稳。2019年她看央视纪录片挑中$三一重工(SH600031)$ ，并在2020年陆续清仓了其他小票，90%仓位都重仓三一和$泸州老窖(SZ000568)$ ，昨天我进她账户看了眼，20年全年收益完美地跑赢了我30个点...
2021-03-22 18:41:41,作为一名DC粉，周末我花了四个小时看完了扎克-施耐德导演剪辑版的《正义联盟》。与17年草草上映、恶评如潮的院线版相比，无论是从娱乐性还是艺术表现力上来看，扎版《正义联盟》简直可以说是完全不同的一部电影。这样一部史诗级的作品，我们却只能在长达四年的等待、国内外忠实粉丝牵头请愿、剧组人员自愿贴钱的情况下，才终于能在流媒体HBO Max上看到——况且，倘若不是因为去年的疫情让华纳认识到扎版正联可以作为推广流媒体业务的一个噱头，他们也许永远都不会通过这一项目。华纳在DC电影宇宙运营上频频掉链子，让DC电影宇宙影响力被漫威拉得越来越远（熟悉美漫的朋友应该知道，DC的蝙蝠侠、超人等角色的人气和知名度在迪士尼运营漫威电影宇宙之前远远超过钢铁侠、雷神之流）。多数作品既没有取得预想中商业上的成功，也牺牲了口碑，外行高管随意剥夺剪辑权的粗暴决策更是摧毁了以扎导为代表的电影创作者的心血。华纳的史诗级失败足以证明“超级IP”并不是随便挖挖便能取之不尽用之不竭的金矿，运营超级IP实则是一项非常专业、且极度长期主义的事业。对于内容制作方而言，这对决策流程、人才激励机制和企业架构都提出极高的要求。在这一点上，目前没有观察到任何一个对手具备和$迪士尼(DIS)$ 同等的能力。
2021-04-08 09:43:29,$腾讯控股(00700)$别的不谈，就基本面和确定性而言，2021年600块的腾讯远比2018年400块的腾讯更便宜。
