发布时间,正文
2022-05-07 19:44:00,去年一月份就开始这么说了。已经过了13个月了。继续这么说，再说个几年可能会被你们说对吧。到时候来叫你们股神
2022-12-19 13:48:00,$时代天使(06699)$ 集采击溃了隐适美，同时降幅仅在30%以下 问就是继续加。
2022-12-21 19:52:00,$腾讯控股(00700)$ 个人分享一下看好腾讯的局部理解 我只是一个平凡的小投资者 并无意对任何人产生任何指点 1.我认为下行态势应当缩小资产负债表，保住现金流 而腾讯恰好正在做这个事情 在全国GDP增速下滑，各行业空间缩窄的情况下 行业的初期投资等等成功率、回报率均会下降 因此缩小表外投资，缩小资产负债表 处置表外资产，保住现金可以让企业处于主动地位 腾讯这两年开始大额分掉股票 将会缩小资产负债表 同时用分股票的形式抵消分现金 不仅能解决反垄断、保值卖出资产的目的 同时能够保留更多现金流以回购自身股票 同时腾讯的回购均为注销，与a股给管理层低价增发根本不同，潜移默化扩大每股eps，本质上类似于红利再投资。 2.我认为沉稳扎实的管理层是伟大企业的灵魂 正所谓买比亚迪是买王传福 买腾讯自然也注重于企业决策端对于资源的利用 腾讯的管理层曾给出的业绩企稳在23年下半年 事实确实是在23年下半年 其次就是对于回购额的把握动态控制在日均经营性现金流净流入附近，并没有净减少现金储备 从反向思考，成功的投资企业开始转头注重自身 悲观上也确实说明近年并没有那么多萌芽性投资机遇。 3.腾讯具备真正的资源 在核心的赚钱领域，被投资企业其实不缺融资 他们注重的是让你参与，你能够提供什么资源 腾讯所提供的是社交媒体端的植入与映射 这部分的价值是很难被抖音等新媒体取代的 毕竟“抖音登陆”，跨平台去“抖音分享”很少 人际资源的核心是日常交流通讯平台 而不是娱乐平台。 4.用兜底性思路决定格雷厄姆式买点 即，我不考虑任何故事 仅在既得壁垒存续的假设下决定买点 将腾讯的表外投资简单打个大折扣 简单估计5000亿 那么对于假设悲观1500亿净利润给予10倍pe 1.5万亿+0.5万亿市值是定投的下届 20倍pe，3+0.5=3.5万亿是定投的上界 因此我定投从340多港币开始 一直定投到200港币 现在均值成本是300港币附近。 5.为什么能够安心持股腾讯 因为我买入腾讯时本来就不过多期望未来增速 我配置时就是以兜底性仓位，10-20pe定投 整体收益率的加速度我买的其他资产（港股部分是锦欣生殖和时代天使） 因此那些片面夸大腾讯未来增速没有等等的人 压根不会影响我这种兜底进场的人 轻资产的商业模式、优质到管理层、智慧的现金流控制和经济局势的理解能力、不可替代的壁垒与资源 此类企业在10-20pe定投拿来做底仓很合适。 最后，永远保持冷静与乐观 作为8成仓经历恒生科技5000➡️2800➡️4000的人 我体会很深。。 $腾讯控股(00700)$ 个人分享一下看好腾讯的局部理解 我只是一个平凡的小投资者 并无意对任何人产生任何指点 1.我认为下行态势应当缩小资产负债表，保住现金流 而腾讯恰好正在做这个事情 在全国GDP增速下滑，各行业空间缩窄的情况下 行业的初期投资等等成功率、回报率...
2022-12-21 20:29:00,$惠丰钻石(BJ839725)$ 作为在惠丰钻石转板上市第一天-55%买入 一天内勇敢投资60万并赚30万离场的投资者 （图一图二为清仓历史） 来讨论一下为什么在此时重新进场： 为什么买培育钻石？ 1.培育钻石是干净的增量赛道 培育钻石是板块的名字 但其实这个名字并没有完全解释个股的商业逻辑 培育钻石其实就是通过高压法或者CVD法 制造化学成分与天然钻石没有差异的金刚石 此类金刚石大部分用于高端制造的切割等 本质上是工业的上游 少部分用于出口或者消费市场 因此硅等硬材料的切割大部分离不开金刚石线据与微粉等，培育钻石因此成为了高端制造的上游 而我们知道硅等材料一直在扩产 因此其上游的耗材，金刚石也会成为增量赛道 2.培育钻石玩家少 通过1的论证，我们理解了培育钻石本质上是资源股 因此离不开扩产降价亏损，产能减少盈利的循环 在十四五的窗口期 下游对于超硬材料的需求是脉冲式上升的 因此在相关领域，扩产者越少越好 而培育钻石在a股 一共只有惠丰钻石、力量钻石、中兵红箭等5只及以下企业是主营业务高权重股 因此其内卷扩产程度会比较小 为什么在板块内选择惠丰钻石？ 1.培育钻石内部也存在上下游，我个人看好下游 培育钻石的上游比如力量钻石和中兵红箭的子公司中南钻石都具备生产原始单晶金刚石的能力 然后单晶金刚石可以被打磨成消费的人造钻石 或者被惠丰钻石等买走打碎成金刚石微粉 因此生产单晶的是上游，买单晶做成纳米级微粉或者线据的是下游 而目前上游的单晶在前几年价格极高，开始逐渐进入震荡下挫的状态 单晶的价格即为微粉的成本端 因此我对于下游降本扩量持乐观态度，同时惠丰也已经研发出上游单晶的生产能力 2.便宜。 尽管北交所流动性具备问题 但我认为在行业均值定价2/3及以下就具备行业内低估的定义，我们看到力量钻石、中兵等的估值都在30附近，而惠丰近日再次跌破20倍pe，让我再次萌生了买回的念头。 3.极高roe与成长性 股市里存在“上市扁平化与低估”效应 及惠丰在几个月前上市 其募集的7亿克拉项目还未投产 目前的估值仅包含上市前的投入所产生的效应 因此存在隐性低估。 4.微粉端存在一定壁垒，并非真正谁都可以生产 a股的金刚石微粉玩家成规模的仅有惠丰和力量钻石 中南钻石基本以单晶为主 同时在工信部的微粉技术竞赛中 惠丰钻石拔得头筹 因此在细分端领域具备比较优势 我们一般给予成熟性制造业10倍pe 那么惠丰目前8亿多克拉微粉产能估值在20pe附近，上市募集的7亿克拉产能保守能增加50%净利润，同时已经具备做单晶取代部分成本采购的能力。 在15-20倍pe的保守区间买入，具备极高的赔率和胜率 以上仅为本人的部分思考，我仅仅在雪球无私分享个人的逻辑和思考，并无意指点任何人。 $惠丰钻石(BJ839725)$ 作为在惠丰钻石转板上市第一天-55%买入 一天内勇敢投资60万并赚30万离场的投资者 （图一图二为清仓历史） 来讨论一下为什么在此时重新进场： 为什么买培育钻石？ 1.培育钻石是干净的增量赛道 培育钻石是板块的名字 但其实这个名字并没有完全...
2023-04-22 03:50:00,"关于复苏曲线的形状讨论很多粉丝的分析框架有问题 行业需求本身是有特性的 部分种类的需求是时间非线性的 ，会产生积累效应 因此此类企业的需求分析上 ，并不会产生线性递推 而是分段函数 甚至产生前后端 “倒数效应 ” 举个例子 疫情对吃喝拉撒造成了创伤 而疫后是从低基数修复 因为2022的吃喝需求并不会从数字上递延到23年 ，最多是提高23年的质量需求 而非线性的经典案例就是生育 去年环境极度不稳定 导致大量想生育群体递延需求至下一年 生孩子的上阶段需求并不会随着时间消除 。而是积累到下阶段释放 也就是2023年的生育群体包括2023年的想生群体+2022年不敢生但想生群体 因此如果对行业需求进行分析 假定2022的数量需求为x 普消只会从x升级到1.1x或者1.2x,而辅助生殖等消费会从x升级到1.5x以上 因此两者的乘数分析会产生显著区别 另一个区别就是T+2逻辑 递延需求导致疫情后第一年 生育需求产生了2年的效果 也就意味着疫情后第二年 生育整体需求可能低于第一年 因为第一年包含了2年的效果 而线性需求就不用担心这种问题 也就是非线性在构造断档曲线 ，右端高于左端但更显著高于中间 ，右端起点对应疫情后一年 线性需求在构造斜向上的曲线 ，疫情后斜率上升 ，抬升不明显 进而推导到个股逻辑 非线类个股应该在放开后抬升过度的高潮期减仓 而线类可以躺平 ，甚至在未充分反映斜率至估值的时间阶段追加仓位 ，譬如现在反着走的行情 。 $锦欣生殖(01951)$$酒鬼酒(SZ000799)$"
2023-07-29 13:33:00,$优然牧业(09858)$ 这次中报的雷主要是生物性资产计提22-23亿引起的 所谓资产计提，即我之前已经花钱全额买入的资产，现在我认为理论价值低于当时购入后登记的账面价值，因此把两者之间的差值计提掉。 生物性资产计提并没有造成企业现金实际流出，因为生物性资产我是早前就已经全额支付，现在不过是资产负债表里的“存货或者生物性资产”的账面价值划扣，划扣的部分要拿入账面冲抵净利润。 有些朋友一直在怒喷生物性资产的计提，要知道的是，奶牛都会老，都会死，每年是一定会计提奶牛价值，直到奶牛死亡时计提所有价值。 因此如果在奶牛早期计提价值过少，就会导致终期需要计提大额乃至全额的生物性资产。 而会计学在生物性资产的规定是不能冲回的，也就是你把一头奶牛的价值在奶亏损期计提的分文不值，即使未来奶周期上行，奶又值钱了，你也不能把之前计提掉的奶牛价值加回来。 因此我个人的态度是觉得越早计提奶牛价值越好，甚至可以在一个时间段把大部分奶牛价值一起计提了，爆个天雷，实际上并没有现金流出，那么以后这方面的影响就可以几乎忽略了。 中报如果把奶牛价值冲回，亏损的8-10亿就变成了盈利12-15亿。这部分是实际经营的结果。 对于优然牧业，他最核心的问题就是前几年参与进了蒙牛伊利圈地大战，在伊利的扶持下大量圈地并且增大杠杆，导致产生了200多亿的负债，同时不幸的是在负债最高的阶段遇到了奶业下行和成本暴增的环境。 因此我们知道优然低估，但这个低估必须在优然可以度过债务危机的情况下才可以谈收益，否则优然还不出钱，在0.5倍市净率底下增发或者发可转债等等融资，势必会造成资产以五折的价格稀释股权。 因此我们要提防的是优然能不能在奶业困境期扣除财务利息费用后依然保持有现金流去产生还账的融资性现金流。 所以我们对中报最终的核心关注点是以下： 1.优然不计入奶牛计提情况下的利润是否在扣除财务费用后依然为正。同时真实的经营性现金流对比中报同期是否稳定，主营业务是否依然能获取稳定利润。 2.优然的负债端有没有进一步恶化，优然的融资性现金流是否能够还款。对我个人而言在奶业没有探底还在下行的情况下进一步盲目扩张是风险不可控的，要看到流出的融资性现金流去降低有息负债。 $优然牧业(09858)$ 这次中报的雷主要是生物性资产计提22-23亿引起的 所谓资产计提，即我之前已经花钱全额买入的资产，现在我认为理论价值低于当时购入后登记的账面价值，因此把两者之间的差值计提掉。 生物性资产计提并没有造成企业现金实际流出，因为生物性资产我是早前就已经全额支...
2023-08-03 22:19:00,526日记录操作 ：无 宏观 ：港股行情分化明显 ，恒生科技明显强于恒生指数 ，新能源车在带恒生科技 对于恒生科技的判断不发生变化 ：死拿一年等美联储降息 ，港股流动性恢复为目的的投资者依旧可以重仓持有或买入 ；做波段为了更强弹性进来的 ，4000以上每200点均可以减仓 。 资金面消费今日被轮动到 ，尤其是北交所的死水消费股今日出现盘中同时爆量 （朱老六 、盖世食品 、还有我持有的$一致魔芋(BJ839273)$ 等 ） 。我私下觉得更多是gj资金在无差别买入食品 ，因为市场机构应该不会无差别买北交所的股票 ，一者冲击成本太大 ，一者对手方数量太少 ，往往是自己在玩 ，另外就是北证创造了超级熊市 ，有点类似于创业板新开的一年多的状态 ，需要护盘 。 北证这个市场应该以 “红筹+成长 ”的视角去理解 ，因为绝大部分都在10-20pe ，搭配超级迷你的规模 ，而且存在 “隐型低估 ” ，北证上市的股票由于市值太小 ，绝大部分的上市募资都占到了公司净资产的20%以上 ，这部分现金投入的产能往往要等公司上市2年才能形成产出 ，而公司上市的估值都是以募资完的市值去对标上市前的产能产生的10-20pe ，因此绝大部分比a股成熟的10+pe的股要更低估一些 ，可以被理解为风险补偿 （小市值易倒闭 ） 就食品而言 ，20pe的朱老六 、13-15pe的魔芋都是相当便宜的 ，基本只要业绩不持续衰退 ，那么这个价格本身是可以在低增速下进入价值区间的 。比如魔芋上一年以30%多的股息支付率就可以超过3%分红率 ，这类其实已经接近食品股红筹范围 。 政策消息面 ，目前依旧是围绕 “活跃资本市场 ” “扶持民营经济 ”展开 。 资本市场是活跃而不是刺激 ，毕竟15年教训太大 ，gj不会再去搞人造牛市 ，否则中期来看伤害远大于一时的兴奋消费 。因此多半还是以轮动为主 。 另外小盘股目前的估值其实非常贵了 ，并不满足所谓的低估形成的空间 ，而白马蓝筹有增速的其实并不便宜 ，茅台 、片仔癀 、珀莱雅这些有增速的 ，pe动辄35打底 ，多则5 、60 。谈不上有价值空间 。 因此所谓的国家队拉动权重价值产生指数 ，这个是很难在价值股上成立的 ，最多玩玩容易换手的券商等 ，毕竟只是 “活跃市场 ”不是 “刺激市场 ” 只是目前对我们普通散户来说 ，$上证50(SH000016)$ 这类价值指数他客观上具备了很好的赔率 ，风险并不大 ，这类拿来做底仓配置还是不错的 。 对我来说 ，在大类价值里目前能够谈性价比的还是由于一些非常规因子形成的PEG明显小于1的低估 ，比如$腾讯控股(00700)$ 大股东的阶段性持续卖盘+蒙代尔三角下加息形成的流动性缺失 ，这种都属于几年期长期可消除的利空因子 ，因此是具备时间投资逻辑的 。
2023-08-04 22:21:00,527日记录今日实盘持仓状态 ：+0.15% 操作如下 ：减仓3%总仓位腾讯 、1.6%锦欣 ，买入4%总仓位祖龙娱乐 ，加仓0.6%心动公司 调仓逻辑 ： 1.腾讯+锦欣占60%+市值 ，但是由于腾讯有大股东日均几亿抛压+锦欣民营医院被医院反腐压制 ，导致重仓70%+的我持续跑不过恒生指数 。因此产生了分散一定仓位略微指数化的想法 2.腾讯本身就持有祖龙20%总股本 ，换祖龙无非是祖龙弹性更大 ，股本结构干净 ，而且私下看好以闪亮之名和后续游戏基于30亿+市值的收益比 。属于在游戏赛道内的组合优化 。 3.祖龙按照港股通规则 ，可能后面会被剔除港股通 ，就无法再买了 。而港股比较好的小盘游戏公司 ，就是祖龙 、中手游 、心动 。我不想错过祖龙 。 4.锦欣22年上半年利润为历史最大值 ，23年上半年可能要计提6%总股本规模的股权激励费用 （待定 ） ，因此我怀疑中报业绩会有压力 ，提前从22w股降低到20w股 ，依旧重仓但略微降低风险敞口 。 加餐分析 ： 盘后心动公司发了23年中报如下 ： 简而言之就是上半年在开源节流 ： 开源是指国服t3等上线 ，收入来源增加 ，节流是指裁员+减少买量 ，导致taptap月活下降高达18% ，但也节约了成本 。因此这个扭亏为盈是省钱+憋了一年多的游戏上线堆出来的 ，代价就是平台的用户减少了 。属于一种公允的 ，正常的博弈结果 ，并没有超预期 。超预期应该是保活的情况下扭亏 ，而不是靠省钱收缩和前期积累的落地阶段性盈利 。 下半年他又开启买量 ，声明又回到了3900万mau月活 。 综上只能证明一件事 ：心动公司可以在牺牲平台发展速度的情况下实现盈利 ，但无法做到像微信一样具备用户粘性 ，一定要持续买量才能够保证用户数量稳定发展 。 进一步可以引申到一类共性问题 ： 买量带来的用户是否是有粘性的 马化腾在电话会议里是强烈反对买量 旗帜鲜明说不再相信买量 这就是腾讯的一大优势 即微信 、qq的存量用户基本不需要买量 而微信 、qq的盘子已经提供了腾讯游戏的主流低成本量圈 ，而这个taptap做不到 taptap一旦停止买量 ，迎来的是18%的损失 而买量又是高成本的 ，因为心动除了tap貌似并没有其他自有的或者合作的低成本社交媒体 甚至要给竞争对手阿B买量钱 取消买量就一定会造成mau损失 保mau月活就会有持续的买量开销 如果tap只能做香肠派对 、T3 这种阶段性长运营而非持续爆品的游戏 那么其流水如果不能持续覆盖买量费用 手机端又无法接受电脑那样steam粘性启动程序的设定 ，tap如何破局是个重大问题 这个问题在哔哩哔哩上也是一样的 哔哩哔哩以前讲故事要基数 现在基数已经渗透率极大 但是阿b大量削减视频激励后依然亏损 很多融资方已经不知道阿b的模式如何逻辑自洽 这也是我为什么只敢给心动4% 而给腾讯40%仓位的核心问题 不在企业小大 而是企业如何走出买量与节流的矛盾 tap自营游戏不能覆盖买量前 都不能给心动上大仓位 所以目前维持4%总仓位是符合风险控制的 $腾讯控股(00700)$$祖龙娱乐(09990)$$心动公司(02400)$
2023-08-08 13:08:00,辅助生殖依然是黄金赛道我国目前进入新生儿急剧下滑的阶段已然是众所周知 ，同时近两年已经出现了密集的政策调控希望鼓励生育 ，而我们一向来是自上而下 ，政策的强度不断提升 ，直到政策目标被实现 ，至少不恶化 。 而随着2021 、2022新生儿数据进一步恶化 ，政策面对生育的支持和鼓励会进一步加强 。 在这种背景下 ，部分地区已经开始将辅助生殖技术纳入医保 ，且在部分大城市已经开始试点 。 市场目前对整个生育板块呈现一个极度的悲观态度 ，乃至延伸到相关的消费领域 （奶粉等 ） 。 生育数量到底在600万还是700万是拐点 ，是我们无法预测的 ，因此做大类生育的股票具备高不确定性 。 但是生育板块里却隐藏着一个增量赛道 ：辅助生殖 。 所谓辅助生殖 ，即针对于大龄的 、或者适龄但不易生育的对象提供辅助的生殖的技术 。其核心用户群基本是30+的生育对象 。 借卖生发水的泽平哥的数据一用 ： 以上数据显示 ，在2020年 ，女性的平均初婚年龄已经接近28岁 。据此推断 ，女性的平均一胎生育年龄极有可能已经靠近30岁 ，而二胎基本一定是30+ 。 因此辅助生殖的对标年龄下界已经开始靠近平均的生育年龄 。 与此同时 ，根据中国人口报告 ，中国的不孕不育率已经从13%左右一路跃升到18% ，未来随着生育年龄的递延有可能超过20% 因此在辅助生殖的用户画像中 虽然整体生育人口规模下降 但是目标客户的比率在显著提升 日本 、欧洲 ，美国 辅助生殖的黄金发育阶段 都是新生儿急剧下滑 、老龄化快速攀升 生育年龄快速递延的阶段 同时辅助生殖现金流新业务有极大可能会获得批准 ，即为了保护人口 ，国家会解除单身女性不得冻卵 ，不得使用精子库单亲生育的规则 ，极有可能会让单亲女性在不结婚的情况下生育 。 具体的证据就是前几个月 ，国家已经允许非婚生子女落户 。这个法条已经提前为单亲生育打下了户籍的基础 ：即没有法律登记的夫妻也可以让私生小孩落户 。 同时未来私生在法律上再也不是一个贬义词 ，因为私生在法律上与婚生将具备一切相等的权利 。 一旦单亲女性冻卵这类业务法律开放 每年冻卵的保持费用就是源源不断的现金流 医院只需把卵子保存在固定地方 ，就可以用极小的占地面积向客户每年收稳定的保存费 。锦欣生殖在香港的生殖中心已经在开展这种业务 。 另外 ，辅助生殖医院具备强大的资质垄断壁垒 法律规定 ，需要三甲医院且运营妇科超过一定年限 ，才能尝试申请辅助生殖一级牌照 ，一级牌照稳定运行三年 ，才能申请二级牌照 ，二级牌照稳定运行三年 ，才能申请三级牌照 。只有拥有了三级牌照 ，才能运行全面的辅助生殖技术 。因此全套的牌照资质 ，不仅需要三甲级别的基础 ，而且需要9年以上的运行时间 ，且运行过程不得出差错 ，每年都得通过考核 。 而$锦欣生殖(01951)$ 已经拥有多块满级牌照 ，基本占据了多个省份大部分有潜力申请ivf辅助生殖的民营医院 。 因此在民营上市 、辅助生殖营收超过50%的对象中 ，锦欣几乎已经成为了这个赛道的纯正孤品 。 而锦欣目前已经进入了极度低估的区间 其现在虚假的88倍市盈率是基于去年疫情 几家大医院有超过一个季度没有经营的情况下 形成的超低基数 今年利润保守估计表义利润在4亿+ 扣除去年6%的股权激励费用 外加新医院及商誉折扣平摊 毛估估3亿+的利润 对标110亿港元 ，即100亿rmb市值 其估值也已经进入30pe周围的阶段 在民营医院里属于低估范畴 这个公司最大的问题就是利益输送明显 无论是常年高比例的股权激励计划 还是收购医院时的高溢价 （可能有管理层回扣 ） 但是不可争论的 ， 在辅助生殖这个黄金赛道上 ， 锦欣已经成为了ah的孤品 其他竞品股辅助生殖占比都小于10% ，而锦欣超过80% 综上所述 ， 锦欣确实在一个符合国家 、历史发展趋势的地方卡位 ，但是他的管理层并不为股东利益服务 。只有在价格足够低的情况下可以覆盖这种管理层负评价 ，目前4块港币的历史最低价格我认为已经到达了我个人认为的绝对超值价格 。 同时附上本人307天持仓70万坐两轮过山车的持仓图以自勉 。
2023-08-08 22:25:00,陪伴炒股 ，529日记录市值变化 ：-1.18% 今日操作 ：进一步迷你减持大仓位的腾讯控股+锦欣生殖 ，减持昨天买入的中国中药+丽珠医药 ，增持雅生活服务+卓越商企服务 理由 ： 1.减持昨天刚买入的中药+丽珠的原因是盘中广东省文件被验证为真 ，且开始推送发酵 ，因此临时降低一部分仓位降低风险 ，底仓继续持有 。 同花顺 、财联社点名推送中国中药 、丽珠 、一品红被立为典型案例的时间和我卖出的时间基本差不多 。 2.港股结构化比较明显 ，物业已经吐出了绝大部分的反抽幅度 ，而且展现出明显的安全边际 。 前面跟大家谈过 ，港股通能买到的低估值物业公司基本都是嵌套了一个潜在暴雷的地产控股公司 ，并且有概率触发账面资产已经被大股东挪用 ，或者像雅生活一样被大股东持续堆高应收账款 ，拿物业高价抵债的风险 。 而卓越商企服务 ，则没有这个高风险地产母公司的风险 ，算是在我观察栏里最安全的物业公司 。 同时其有息负债 （短期借款+长期借款 ）为零 ，没有财务利息压力 ，账面现金25亿 ，远大于总负债14亿 。极度悲观估计平均年利润可以维持3亿+ ，对标30亿港元市值可以进入个位数pe范畴 。且目前被市场解读为利空的子公司诉讼债务已经在去年全额计提商誉及担保金额 ，未来如果全额赔偿不会构成利润表损失 ，如果有偿还反而会冲回利润 。 而且此股账面现金应该没有做假 ，因为他中报 、年报均持续大额分红 ，表明现金流并不紧张 ，而且控股方及高管在下跌过程中不断增持 ，控股集团已经达到港股的持股比率上限 （综合75% ，不得超过 ）而被动停止增持 。也就是公司的实控方认为是极度廉价的证明 。 综合分红率应该能稳定在8-12% （按现在股价 ） ，扣掉20%港股通红利税 ，依然高达6%以上 。 这个分红率已经可以和同样是现金流业务的高速公路派系一较长短 ，但是高速公路是有比较高的负债的 ，其派息依赖于债务的低息存续 ，而这家公司本体是没有有息负债的 ，负债率为港股所有物业股最低 。 因此我在物业层面最大仓位给他 ，其次给高赔率的雅生活服务 。不排除后面随着暴跌继续加仓 。 物业整体给的市值小于10%的原因是他们毕竟是没有增速的行业 ，只能说给年综合收益率画一个x=0的时候y给个4-6%的兜底部分 ，成长依然要靠持仓里的游戏 、辅助生殖部分 。 3.随着港股很多部分已经跌回上一轮低点的估值 ，我会不断降低腾讯的持仓 ，均匀换更多的高弹性小而美的港股公司 。因为腾讯大股东的抛压会持续几年 ，同时伴随市值过大 ，美国降息的时候往往业很难拉动的特性 。 在下跌的时候躲在腾讯跌的少 （-17%这一轮 ） ，在市场足够低的时候慢慢换入那些翻倍后又跌回去的小而美公司 （我换入的祖龙 、心动 、雅生活等这一轮平均跌幅是-35% ） ，就可以赚弹性差 。 其他逻辑 ： 人民币再次开始贬值加速 ，估计明天港股的压力会进一步加大 ，我会保持满仓继续根据性价比微调结构 。 $腾讯控股(00700)$$卓越商企服务(06989)$$锦欣生殖(01951)$
