ID,发布时间,点赞数,评论数,转发数,页码,链接,摘要,正文
378688053,2026-03-09 22:17,33,4,0,1/109,https://xueqiu.com/1429872781/378688053,回复@高大侠-勇往直前: 有点常识好不好，买put会爆仓？？...,回复@高大侠-勇往直前: 有点常识好不好，买put会爆仓？？
378674020,2026-03-09 20:33,24,15,0,1/109,https://xueqiu.com/1429872781/378674020,回复@Jefflf: 最近一线城市二手房非常热。等等往一手房传导。 然后看看能不能一次性政策给足。...,回复@Jefflf: 最近一线城市二手房非常热。等等往一手房传导。 然后看看能不能一次性政策给足。
378639002,2026-03-09 15:52,71,30,0,1/109,https://xueqiu.com/1429872781/378639002,创新药只是市场风格逆风，并不是基本面逆风。而且恰恰相反，这个行业基本面及其顺风。 通常，这是大的买点...,创新药只是市场风格逆风，并不是基本面逆风。而且恰恰相反，这个行业基本面及其顺风。 通常，这是大的买点，意味着大的长期投资机会。 当然，我不是说药明生物，他估值贵了.....
378431057,2026-03-07 11:46,22,2,0,1/109,https://xueqiu.com/1429872781/378431057,回复@i山顶资本: 发行价格哪里看到的？...,回复@i山顶资本: 发行价格哪里看到的？
378070714,2026-03-05 08:40,32,4,0,1/109,https://xueqiu.com/1429872781/378070714,你怎么知道的。 我好像游戏里买皮肤的钱比给自己买衣服的钱多得多...,你怎么知道的。 我好像游戏里买皮肤的钱比给自己买衣服的钱多得多
377451872,2026-03-01 16:28,26,5,0,1/109,https://xueqiu.com/1429872781/377451872,这是什么逻辑链条？...,这是什么逻辑链条？
377449781,2026-03-01 15:52,105,33,0,1/109,https://xueqiu.com/1429872781/377449781,几乎兵不血刃，搞定了委内瑞拉和伊朗。这个世界是不是应该重新评估美元了？...,几乎兵不血刃，搞定了委内瑞拉和伊朗。这个世界是不是应该重新评估美元了？
376745248,2026-02-24 15:44,38,0,0,1/109,https://xueqiu.com/1429872781/376745248,你错了，还在娘胎里，就已经看出来了...,你错了，还在娘胎里，就已经看出来了
376646840,2026-02-23 22:33,45,7,0,1/109,https://xueqiu.com/1429872781/376646840,ACLX 65亿市值，LEGN 39亿市值。 用屁股想想也知道这里面有一个错的离谱...,"ACLX 65亿市值，LEGN 39亿市值。
用屁股想想也知道这里面有一个错的离谱"
376610158,2026-02-23 10:44,31,4,0,1/109,https://xueqiu.com/1429872781/376610158,回复@处镜如初: 嗯，基本面会在未来半年到一年得到确认。所以股价已经涨了...,回复@处镜如初: 嗯，基本面会在未来半年到一年得到确认。所以股价已经涨了
376604427,2026-02-23 09:29,64,27,0,1/109,https://xueqiu.com/1429872781/376604427,回复@sf101127: 地产+创新药，就是今年的财富密码...,回复@sf101127: 地产+创新药，就是今年的财富密码
376604272,2026-02-23 09:25,57,35,1,1/109,https://xueqiu.com/1429872781/376604272,2025，只是这个行业崛起的起点。当前，就是第二次布局这个行业的最好时机。未来很多年，我们会见证这个...,2025，只是这个行业崛起的起点。当前，就是第二次布局这个行业的最好时机。未来很多年，我们会见证这个行业一个又一个高光时刻。当然，伴随市值不断膨胀。
376286011,2026-02-15 11:23,20,2,0,1/109,https://xueqiu.com/1429872781/376286011,春节期间，用电需求大减，这是光伏要出系统服务费了？...,春节期间，用电需求大减，这是光伏要出系统服务费了？
