ID,发布时间,点赞数,评论数,转发数,链接,摘要,正文
363793074,2025-11-29 13:41:48,16,26,0,https://xueqiu.com/4925086612/363793074,$新秀丽(01910)$ 于2014年从Black Diamond黑钻手里收购了1977年成立的专业登山背包品牌Gregory格里高利，对价8500万美金，PS2.4x，这是新秀丽2014年的第三笔收购。新秀丽2011年在香港上市，同年上市的还有欧舒丹和Prada，背景是中国奢侈品消费能力不断上升，香港成为奢侈品牌上市圣地，当年计...,"来源
：雪球App
，作者
： 我無形
，
（https://xueqiu.com/4925086612/363793074
）
$新秀丽(01910)$ 于2014年从Black Diamond黑钻手里收购了1977年成立的专业登山背包品牌Gregory格里高利
，对价8500万美金
，PS2.4x
，这是新秀丽2014年的第三笔收购
。
新秀丽2011年在香港上市
，同年上市的还有欧舒丹和Prada
，背景是中国奢侈品消费能力不断上升
，香港成为奢侈品牌上市圣地
，当年计划在香港招股的还有Coach
、Jimmy Choo和Ferragamo
。去掉老股后
，新秀丽上市募资不到2亿美金
，2012年收购了High Sierra 及Hartmann
，2013年年底净现金2.1亿美金
，2014年收购了法国箱包品牌Lipault
、美国手机保护壳品牌Speck和Gregory
。2016年收购了Tumi
。
“截至2013年12月31日
，Gregory销售净额为3490万美元
，同比上年的3060万美元上升14.3%
。2013年
，北美洲及日本分别占Gregory销售额的约35.5%及36.3%
，专业背包及配件占销售额约72.3%
，休闲背包及配件则占27.7%
。
”
2019年Gregory销售为6980万美元
，13到19年复合增速12%
。2020年大幅下滑
，2022年恢复到6140万美元
。2023年开始不再单独披露合并到Other
，22至24年Other分部基本没有增长
。
Gregory的主要竞争对手是Osprey小鹰和Mystery Ranch神秘农场
。
小鹰在2021年被Helen of Troy以4.14亿美元收购
，2021年小鹰的销售收入为1.55亿美金
。根据一些推算目前收入在3亿美金左右
。
神秘农场在2024年被Yeti以3600万美金收购
，推算收入也不会太高
。
总体来看
，专业登山包目前还并不是一个很大的行业
。
$安踏体育(02020)$$亚玛芬体育(AS)$ $伯希和$"
363789371,2025-11-29 12:25:06,42,5,0,https://xueqiu.com/4925086612/363789371,$拼多多(PDD)$,"来源
：雪球App
，作者
： 我無形
，
（https://xueqiu.com/4925086612/363789371
）
$拼多多(PDD)$"
359003279,2025-10-30 11:14:33,16,4,0,https://xueqiu.com/4925086612/359003279,"网页链接In a newly published report examining the status spirits landscape, IWSR Drinks Market Analysis,
the leading authority on the global beverage alcohol market, sh...","来源
：雪球App
，作者
： 我無形
，
（https://xueqiu.com/4925086612/359003279
）
网页链接
In a newly published report examining the status spirits landscape, IWSR Drinks Market Analysis, the leading authority on the global beverage alcohol market, shows that the value of the status spirits market is $8.3bn (excluding baijiu), and increasing at a value compound annual growth rate of 7% (2014-2018), significantly ahead of the total global spirits market at 2% value CAGR. 
Status baijiu, almost all of which is sold in China and global travel retail, stands in a league of its own at $33.2bn in value.
网页链接
Baijiu retains a dominant 84% value share of the global status spirits market – covering products with a weighted average price above US$100 – but consumption remains almost completely confined to China. Excluding baijiu, the global market for international status spirits grew by 35% in value terms during 2021, according to IWSR figures, leaving it 8% ahead of pre-pandemic 2019. Value expanded at a compound annual growth rate (CAGR) of +9% between 2016 and 2021."
339269509,2025-06-18 23:52:38,6,0,0,https://xueqiu.com/4925086612/339269509,$任天堂(NTDOY)$ 一盘冷饭炒出新高，炒饭要用隔夜饭是有道理的,$任天堂(NTDOY)$ 一盘冷饭炒出新高，炒饭要用隔夜饭是有道理的
337805471,2025-06-06 22:30:35,4,1,0,https://xueqiu.com/4925086612/337805471,$范尔度假村(MTN)$ 发生啥了，都到疫情低点价格了@坚信价值 1.FY24降雪量下降了28%，visits下滑10%。FY25前9个月的visits打平，雪季下滑4%。但票价在涨，收入利润总体还算稳定。25-26雪季的Pass初期销量下滑1%，收入上升2%。也就是Price Mix上升3%，而Pass Price本身上升了7%。2...,"来源
：雪球App
，作者
： 我無形
，
（https://xueqiu.com/4925086612/337805471
）
$范尔度假村(MTN)$ 发生啥了
，都到疫情低点价格了@坚信价值
1.FY24降雪量下降了28%
，visits下滑10%
。FY25前9个月的visits打平
，雪季下滑4%
。但票价在涨
，收入利润总体还算稳定
。25-26雪季的Pass初期销量下滑1%
，收入上升2%
。也就是Price Mix上升3%
，而Pass Price本身上升了7%
。
2.净负债高企
，股东回报难以持续
。FY24净负债24.6亿
，4年增加了4亿
。利息1.6亿
，平均利率5.8%
。EBITDA8.3亿
，净负债/EBITDA疫情前的2上升到了3
，债务扩张空间不大
。FCF3.8亿
，公司自己算法
（Resort Reported EBITDA less Capital Expenditures less Cash Paid for Interest
）FCF是4.7亿
，FY24的股东回报4.7亿
，3年合计15.9亿
，FY25至今股东回报已等于FY24
。股东回报率和FCF收益率都是8%+
。EV/FCF约21倍
（公司算法P/FCF为12倍
）
3.21年接任的CEO Kirsten Lynch被换
，Rob Katz被重新任命"
337605053,2025-06-05 15:22:37,3,2,0,https://xueqiu.com/4925086612/337605053,日本两大蒟蒻果冻品牌Tarami和Orihiro，Orihiro非上市，Tarami属于$Dydo$ （自动贩卖机卖饮料的企业）。Tarami年收入约10亿人民币，dry jelly市占率超过50%（但不包括konjac pouch jelly，这应该是Orihiro强）。发展趋势上结合鲜果和高附加值（比如PREMIUM＋系列产品添加抗性糊精这种食物纤维，抑...,"来源
：雪球App
，作者
： 我無形
，
（https://xueqiu.com/4925086612/337605053
）
日本两大蒟蒻果冻品牌Tarami和Orihiro
，Orihiro非上市
，Tarami属于$Dydo$ 
（自动贩卖机卖饮料的企业
）
。Tarami年收入约10亿人民币
，dry jelly市占率超过50%
（但不包括konjac pouch jelly
，这应该是Orihiro强
）
。发展趋势上结合鲜果和高附加值
（比如PREMIUM＋系列产品添加抗性糊精这种食物纤维
，抑制餐后甘油三酯和血糖升高
，调节肠胃状况
）
。
喜之郎21年推出蒟蒻果冻产品
。
$亲亲食品(01583)$
（恒安系
）2020年引入ORIHIRO工艺技术
，推出蒟蒻果冻
。24年果冻收入5亿+
，占比50%+
，毛利率29%
。
正在申请上市的$溜溜果园 也是引入ORIHIRO的生产线
，结合梅子
，2019年推出梅冻
。24年销售4亿+
（终端销售约9亿
）
，增速30%+
，占比25%
，毛利率48%
。果冻行业第6大
，自定义天然果冻第一
。
某A股上市公司也有蒟蒻果冻
，24年收入3亿
，增速近40%
，占比5%+
。辣卤素毛肚收入8亿+
，增速76%
南橘北枳
，24年果冻市场300亿
，蒟蒻果冻不到50亿
。
抓住魔芋碳水替代的是$卫龙美味(09985)$
，以魔芋爽为代表的蔬菜制品24年收入34亿
，增速59%
，占比54%
，超过辣条
，毛利率50%
，净利率近20%
。
日本魔芋人均消费600日元左右
（约30人民币
）
，高峰期1200日元
。
上游种植面积受限
，中游壁垒不高
，竞争格局分散
，不展开了
。"
337469417,2025-06-04 17:19:18,13,1,2,https://xueqiu.com/4925086612/337469417,$Yonex大中华区为主的Asia收入24年增速24%，收入占比接近50%，利润占比2/3。和想象不同的是去年海外网球收入增速比羽毛球还慢，没吃到红利不过相比上半年还是有加速增长，$亚玛芬体育(AS)$ 的Wilson也是Q3、Q4逐季加速（25Q1增速下降），再看看。目标网球收入还是要提高的...,"来源
：雪球App
，作者
： 我無形
，
（https://xueqiu.com/4925086612/337469417
）
$Yonex
大中华区为主的Asia收入24年增速24%
，收入占比接近50%
，利润占比2/3
。
和想象不同的是去年海外网球收入增速比羽毛球还慢
，没吃到红利不过相比上半年还是有加速增长
，$亚玛芬体育(AS)$ 的Wilson也是Q3
、Q4逐季加速
（25Q1增速下降
）
，再看看
。
目标网球收入还是要提高的
，但重点是美国市场
。中国还是讲羽毛球空间
，可能还是场地限制
，羽毛球场30万vs网球5万+
（网页链接
）
。
15年来ROE从不到3%提升到16%以上
。未来5年收入增速目标7-10%
，利润10%+
。股东回报一般
，还是以增长性资本开支为主
。PE约25倍
，EV/FCF约34倍
。"
336997792,2025-05-30 14:52:18,16,9,0,https://xueqiu.com/4925086612/336997792,$微博(WB)$ $微博-SW(09898)$ 永不崩盘的MAU和DAU，最近3年每年2亿美金分红，分红收益率8.7%，回购很少。 Non-Gaap净利4.8亿美金，较21年高峰下降1/3，较收入规模差不多的19年也下滑了25%（毛利率下降，费用率上升）。FCF最近2年平均6亿美金，分红支出一共也就4亿，奇怪的是现金2年都是...,"来源
：雪球App
，作者
： 我無形
，
（https://xueqiu.com/4925086612/336997792
）
$微博(WB)$$微博-SW(09898)$
永不崩盘的MAU和DAU
，最近3年每年2亿美金分红
，分红收益率8.7%
，回购很少
。
Non-Gaap净利4.8亿美金
，较21年高峰下降1/3
，较收入规模差不多的19年也下滑了25%
（毛利率下降
，费用率上升
）
。FCF最近2年平均6亿美金
，分红支出一共也就4亿
，奇怪的是现金2年都是净减少的
，净现金从22年底的7亿美金到25Q1基本没了
。翻了一下资产负债表破案了
。
一个比较大的科目是长期投资13.9亿美金
，这3年投出去大概6.9亿美金
。主要包括天下秀
（其中3.5亿股是23年21.6亿人民币从新浪手里买的
，现在值多少可以自己看看
）
、滴滴等
。
还有比较大的科目是9.8亿的Other non-current assets
，其中包括3.6亿给关联方的借款和4亿Long-term wealth management products
。"
336759276,2025-05-29 00:13:54,93,363,37,https://xueqiu.com/4925086612/336759276,$携程(TCOM)$ $携程集团-S(09961)$ 外卖零售利润这么点，整天打来打去，OTA利润率30%+没人看得上吗1.携程24年vs疫情前的19年5年收入CAGR是8%，净利复合增速20%，净利率32%（06-11年净利率都是30%+，12-19年平均净利率10%，其中1年亏损2年很低），FCF的CAGR有24%。市值450亿美金v...,"来源
：雪球App
，作者
： 我無形
，
（https://xueqiu.com/4925086612/336759276
）
$携程(TCOM)$$携程集团-S(09961)$
外卖零售利润这么点
，整天打来打去
，OTA利润率30%+没人看得上吗
1.携程24年vs疫情前的19年5年收入CAGR是8%
，净利复合增速20%
，净利率32%
（06-11年净利率都是30%+
，12-19年平均净利率10%
，其中1年亏损2年很低
）
，FCF的CAGR有24%
。市值450亿美金vs美团1000亿美金
。24年收入增速20%VS美团22%
，25Q1增速都是16%
。
2.全球龙头Booking净利率25%
（剔除疫情期间最低值是7%
，平均20%+
）
，市值1800亿美金
。老二Expedia就只有200亿美金了
，净利率10%以下
，而且少有超过10%的时候
，疫情前平均只有不到2%
。而且Booking的主要市场在欧洲
，Expedia在美国
，这是欧洲少数利润率也不错的业务
。同程65亿美金
，20亿利润
，净利率10%+
。印度龙头Makemytrip市值也有110亿美金
，疫情低点起涨了10倍+
，而老二Yatra快跌没了
。
3.旅游行业内部比较
，国内四大连锁酒店合计市值200亿美金
，不到携程的一半
。全球来看也就万豪和希尔顿大一点
，700亿美金上下
，前五大连锁酒店的总市值也就和Booking差不多
。
天下不苦携程吗美团阿里字节都有现成的业务
，甚至京东也有
，为啥不卷呢"
335638860,2025-05-19 22:21:04,4,0,0,https://xueqiu.com/4925086612/335638860,$菲利普莫里斯(PM)$ $英美烟草公司(BTI)$,"来源
：雪球App
，作者
： 我無形
，
（https://xueqiu.com/4925086612/335638860
）
$菲利普莫里斯(PM)$$英美烟草公司(BTI)$"
