发布时间,正文
2015-07-19 09:01:36,我刚参加了#雪球投资性格测试#，原来我和 @神秘的汤勺 @靖杰1918 @lytadao 一样，刚悟出买股票就是买公司，却还会被市场噪音和内心冲动左右；买得太贵让我长期浮亏，卖得太早让我错失长牛。奥马哈在哪里？我眼前一片迷雾。也许我错就错在还相信爱情。 网页链接
2015-11-19 15:50:21,$枫叶教育(01317)$ 几个问题：1.教育法规定不得以盈利为目的开办学校，后来民办教育促进法提出模糊的“合理回报”概念，并把民办学校分成捐资举办、要求合理回报和不要求合理回报三类。公司所有学校都以不要求合理回报的身份注册，从而享受和公立学校一样的免税政策。公司的盈利通过服务费支付给北鹏软件（且可能超过合理回报）。2.北鹏软件为软件开发企业，所得税从2014年起享有豁免2年、减半3年的优惠政策。3.小学和初中为禁止外商投资产业，幼儿园和高中外族比例应低于50%。公司通过VIE架构突破了限制。办学有合法性风险，税收有追溯缴纳和罚款（50%-5倍）的风险，有没有懂这块的球友？
2016-01-01 00:14:35,2015年最合理的交易：4000-4500点减仓A股，与创业板大牛无缘，再来一次也不会参与，可惜没有清仓，不过上半年做分级溢价套利或者期限套利性价比可能更好；2015年最悲催的交易：减仓A股后加仓了港股，1倍PB再跌去30%-40%，还好没有一把满仓，还有子弹补仓，不过再来一次可能还是躲不过，只能伤的轻点；2015年最遗憾的交易：没有参与分级A下折，特别是分级A全线跌停那天，理论上都是保险等机构资金参与的市场，你说市场有效吗？真没看出来；总结2015年最完美的交易：4500点以上清仓A股，做做分级溢价套利和期限升水套利，清仓后等分级A吃2波下折潮，吃完下折收益8月底抄底港股[跪了]资本市场之外最好的机会是在佳兆业违约事件发酵、柴静视频引发社会对雾霾关注后抄底深圳楼市
2017-03-17 09:31:17,这轮房价上涨过后，地产下行的风险应该说加大了，而非减小了。对房企来说，影响差别很大。第一类是拥有前几年积累的大量低成本土地资源的房企，没有也不准备高价拿地的，受益是最明显的。而在此时逐步将土地储备转化为现金，等待市场冷却没人拿地的时候（比如2014年）出手，代表是部分有资源禀赋的央企国企和风格保守的民企。第二类是土地资源多，但开发节奏快，拿地也多的企业居中。已经拿到的地赚到了但只赚到了一截因为很多存货快速卖掉了，赚到的钱又全部投入了价格不低的新地，风险主要取决于未来的拿地节奏和成本，代表是大量高周转的民企，主要看老板对市场的把握了。第三类是前几年认为市场太高拿地少，但开发节奏又比较快，现在压力较大，为了保持企业的发展规模，不得不在更高的价格补充土地储备，比较被动。
2017-04-13 17:27:24,$潍柴动力(SZ000338)$ $玉柴国际(CYD)$
2017-04-13 17:29:37,重卡中卡轻卡$东风集团股份(00489)$ $福田汽车(SH600166)$ $庆铃汽车股份(01122)$
2018-04-08 18:20:35,关于$谭木匠(00837)$，对@谭木匠 说：1.公司是否可以单独披露线上销售数据（根据16年公布的数据推算占比已接近30%）和线下同店销售数据？为什么往年都有披露的梳子类和镜子类的销量17年没有披露？2.公司组合礼盒销售占比从08年51%上升到了17年的77%，请问这种消费趋势背后的原因是什么？公司是否掌握礼盒销售中商务送礼和私人送礼的占比大致是多少？
2018-10-09 10:30:01,AOT泰国机场集团市值约1900亿人民币，包括素万那普、廊曼、普吉、清迈等6个机场，中国上市的上海、北京、广州、深圳、厦门、海口6个机场总市值加起来也是也是1900亿
2018-11-22 10:39:31,关于$拼多多(PDD)$，对@东城磐道 说：拼多多小B买家贡献的GMV有多少？拼多多出现后农产品批发市场存在的价值在哪里（占农产品流通约70%）？农产品C2B整个市场空间有多大（参考值第一产业GDP6.5万亿，农产品电商交易额2500-3000亿）？网页链接
2019-01-30 00:11:15,@坚信价值[¥10.00] 请问有没有专门投资欧美日韩化妆品的etf？或者有什么其他专注从女人身上赚钱的etf
